sample_id,group,source,LONP1_log2TPM
TCGA-EK-A2PG-01,Tumor,TCGA,5.386
TCGA-ZJ-AAX4-01,Tumor,TCGA,5.648
TCGA-EK-A2PM-01,Tumor,TCGA,6.972
TCGA-DS-A5RQ-01,Tumor,TCGA,4.164
TCGA-C5-A1MK-01,Tumor,TCGA,5.635
TCGA-C5-A8YQ-01,Tumor,TCGA,5.335
TCGA-VS-A8Q9-01,Tumor,TCGA,5.958
TCGA-VS-A9UL-01,Tumor,TCGA,5.887
TCGA-C5-A1BM-01,Tumor,TCGA,5.36
TCGA-FU-A3TX-01,Tumor,TCGA,6.082
TCGA-DS-A1OA-01,Tumor,TCGA,5.411
TCGA-C5-A3HL-01,Tumor,TCGA,5.327
TCGA-VS-A8QH-01,Tumor,TCGA,5.53
TCGA-VS-A959-01,Tumor,TCGA,5.196
TCGA-VS-A9UI-01,Tumor,TCGA,5.515
TCGA-DS-A1O9-01,Tumor,TCGA,5.398
TCGA-MA-AA42-01,Tumor,TCGA,5.275
TCGA-C5-A8XJ-01,Tumor,TCGA,6.373
TCGA-EK-A2RA-01,Tumor,TCGA,4.629
TCGA-VS-A9UV-01,Tumor,TCGA,5.557
TCGA-VS-A9UD-01,Tumor,TCGA,6.153
TCGA-ZJ-A8QO-01,Tumor,TCGA,6.005
TCGA-C5-A7X5-01,Tumor,TCGA,5.359
TCGA-VS-A9UT-01,Tumor,TCGA,4.906
TCGA-C5-A1MH-01,Tumor,TCGA,6.129
TCGA-C5-A7X3-01,Tumor,TCGA,4.817
TCGA-C5-A8XI-01,Tumor,TCGA,5.967
TCGA-IR-A3LK-01,Tumor,TCGA,4.909
TCGA-C5-A7CO-01,Tumor,TCGA,5.851
TCGA-EA-A3HT-01,Tumor,TCGA,4.9
TCGA-MY-A5BF-01,Tumor,TCGA,6.015
TCGA-EK-A2RK-01,Tumor,TCGA,5.895
TCGA-VS-A954-01,Tumor,TCGA,5.928
TCGA-ZJ-AAXI-01,Tumor,TCGA,3.51
TCGA-VS-A952-01,Tumor,TCGA,6.052
TCGA-C5-A1BQ-01,Tumor,TCGA,6.253
TCGA-C5-A2LZ-01,Tumor,TCGA,5.209
