gsm,title,group,value_log2norm
GSM1551311,Normal-01,Normal,5.541053399
GSM1551312,Normal-02,Normal,7.850652325
GSM1551313,Normal-03,Normal,8.003910462
GSM1551314,Normal-04,Normal,7.249916743
GSM1551315,Normal-05,Normal,6.378618991
GSM1551316,Normal-06,Normal,4.958341611
GSM1551317,Normal-07,Normal,5.663748581
GSM1551318,Normal-08,Normal,6.612155313
GSM1551319,Normal-09,Normal,5.98455059
GSM1551320,Normal-10,Normal,9.762463888
GSM1551321,Normal-11,Normal,8.820276529
GSM1551322,Normal-12,Normal,8.546296038
GSM1551323,Normal-13,Normal,9.472461485
GSM1551324,Normal-14,Normal,9.59245771
GSM1551325,Normal-15,Normal,8.818637223
GSM1551326,Normal-16,Normal,8.317133273
GSM1551327,Normal-17,Normal,8.827549044
GSM1551328,Normal-18,Normal,10.16068316
GSM1551329,Normal-19,Normal,10.20413579
GSM1551330,Normal-20,Normal,10.12176354
GSM1551331,Normal-21,Normal,10.3433024
GSM1551332,Normal-22,Normal,9.300431953
GSM1551333,Normal-23,Normal,8.132905978
GSM1551334,Normal-24,Normal,9.364737995
GSM1551335,CIN1-01,CIN1,7.054465867
GSM1551336,CIN1-02,CIN1,5.526223785
GSM1551337,CIN1-03,CIN1,6.967801129
GSM1551338,CIN1-04,CIN1,7.258823242
GSM1551339,CIN1-05,CIN1,4.032204407
GSM1551340,CIN1-06,CIN1,9.49321382
GSM1551341,CIN1-07,CIN1,8.015316336
GSM1551342,CIN1-08,CIN1,3.779061482
GSM1551343,CIN1-09,CIN1,8.648801648
GSM1551344,CIN1-10,CIN1,9.265201459
GSM1551345,CIN1-11,CIN1,9.360487605
GSM1551346,CIN1-12,CIN1,9.836781907
GSM1551347,CIN1-13,CIN1,10.54393085
GSM1551348,CIN1-14,CIN1,8.852023529
GSM1551349,CIN2-01,CIN2,5.008052715
GSM1551350,CIN2-02,CIN2,6.485112053
GSM1551351,CIN2-03,CIN2,4.709156834
GSM1551352,CIN2-04,CIN2,6.363002071
GSM1551353,CIN2-05,CIN2,7.969092979
GSM1551354,CIN2-06,CIN2,7.408792805
GSM1551355,CIN2-07,CIN2,8.041138166
GSM1551356,CIN2-08,CIN2,9.377514127
GSM1551357,CIN2-09,CIN2,7.422548454
GSM1551358,CIN2-10,CIN2,8.696112944
GSM1551359,CIN2-11,CIN2,8.61250869
GSM1551360,CIN2-12,CIN2,8.866861317
GSM1551361,CIN2-13,CIN2,8.570101323
GSM1551362,CIN2-14,CIN2,5.668352813
GSM1551363,CIN2-15,CIN2,9.359542909
GSM1551364,CIN2-16,CIN2,8.861379946
GSM1551365,CIN2-17,CIN2,10.49199751
GSM1551366,CIN2-18,CIN2,9.215754161
GSM1551367,CIN2-19,CIN2,8.199647795
GSM1551368,CIN2-20,CIN2,9.996604997
GSM1551369,CIN2-21,CIN2,10.18529382
GSM1551370,CIN2-22,CIN2,7.815084596
GSM1551371,CIN3-01,CIN3,5.529059995
GSM1551372,CIN3-02,CIN3,7.70559739
GSM1551373,CIN3-03,CIN3,7.791464466
GSM1551374,CIN3-04,CIN3,6.832807723
GSM1551375,CIN3-05,CIN3,7.58533462
GSM1551376,CIN3-06,CIN3,7.289226636
GSM1551377,CIN3-07,CIN3,7.701931417
GSM1551378,CIN3-08,CIN3,8.42074749
GSM1551379,CIN3-09,CIN3,7.316774356
GSM1551380,CIN3-10,CIN3,8.17838041
GSM1551381,CIN3-11,CIN3,3.588325453
GSM1551382,CIN3-12,CIN3,8.76993712
GSM1551383,CIN3-13,CIN3,9.038793483
GSM1551384,CIN3-14,CIN3,8.048321767
GSM1551385,CIN3-15,CIN3,7.170140448
GSM1551386,CIN3-16,CIN3,9.797843289
GSM1551387,CIN3-17,CIN3,10.72782392
GSM1551388,CIN3-18,CIN3,8.368132353
GSM1551389,CIN3-19,CIN3,9.159318003
GSM1551390,CIN3-20,CIN3,10.63795897
GSM1551391,CIN3-21,CIN3,9.168653861
GSM1551392,CIN3-22,CIN3,8.967931381
GSM1551393,CIN3-23,CIN3,8.854701843
GSM1551394,CIN3-24,CIN3,10.65221904
GSM1551395,CIN3-25,CIN3,8.940687837
GSM1551396,CIN3-26,CIN3,10.08303279
GSM1551397,CIN3-27,CIN3,8.606790595
GSM1551398,CIN3-28,CIN3,10.43507787
GSM1551399,CIN3-29,CIN3,9.901719966
GSM1551400,CIN3-30,CIN3,10.22310942
GSM1551401,CIN3-31,CIN3,9.999522679
GSM1551402,CIN3-32,CIN3,9.802415773
GSM1551403,CIN3-33,CIN3,9.338081499
GSM1551404,CIN3-34,CIN3,10.57361671
GSM1551405,CIN3-35,CIN3,9.051694585
GSM1551406,CIN3-36,CIN3,9.629708932
GSM1551407,CIN3-37,CIN3,7.674149627
GSM1551408,CIN3-38,CIN3,10.16911576
GSM1551409,CIN3-39,CIN3,9.578236889
GSM1551410,CIN3-40,CIN3,9.213423499
GSM1551411,Cancer-01,Cancer,4.937633948
GSM1551412,Cancer-02,Cancer,5.500794082
GSM1551413,Cancer-03,Cancer,6.785486616
GSM1551414,Cancer-04,Cancer,5.52590934
GSM1551415,Cancer-05,Cancer,5.55907745
GSM1551416,Cancer-06,Cancer,8.657296194
GSM1551417,Cancer-07,Cancer,7.4973713
GSM1551418,Cancer-08,Cancer,8.359436565
GSM1551419,Cancer-09,Cancer,7.356436741
GSM1551420,Cancer-10,Cancer,3.767828778
GSM1551421,Cancer-11,Cancer,8.614436173
GSM1551422,Cancer-12,Cancer,9.944810469
GSM1551423,Cancer-13,Cancer,9.548337268
GSM1551424,Cancer-14,Cancer,9.453652838
GSM1551425,Cancer-15,Cancer,8.546448782
GSM1551426,Cancer-16,Cancer,8.547286047
GSM1551427,Cancer-17,Cancer,9.941225171
GSM1551428,Cancer-18,Cancer,10.5185178
GSM1551429,Cancer-19,Cancer,10.5573159
GSM1551430,Cancer-20,Cancer,7.31169061
GSM1551431,Cancer-21,Cancer,9.600441752
GSM1551432,Cancer-22,Cancer,7.350589519
GSM1551433,Cancer-23,Cancer,9.627022436
GSM1551434,Cancer-24,Cancer,9.593085386
GSM1551435,Cancer-25,Cancer,7.36945021
GSM1551436,Cancer-26,Cancer,8.872792764
GSM1551437,Cancer-27,Cancer,11.04818069
GSM1551438,Cancer-28,Cancer,8.485398872
