gsm,group,value_log2
GSM189384,normal,10.50680344
GSM189385,normal,10.62296694
GSM189386,normal,10.41785251
GSM189387,normal,10.76735685
GSM189388,normal,10.58777752
GSM189389,normal,10.82257083
GSM189390,normal,10.19352536
GSM189391,normal,11.08081753
GSM189392,normal,10.85720347
GSM189393,normal,10.21310422
GSM189394,hsil,10.87498135
GSM189395,hsil,10.5943246
GSM189396,hsil,10.58965115
GSM189397,hsil,10.77561028
GSM189398,hsil,11.01820018
GSM189399,hsil,10.87190524
GSM189400,hsil,10.9822806
GSM189401,scc,10.906139
GSM189402,scc,11.01192607
GSM189403,scc,10.94471206
GSM189404,scc,10.52160044
GSM189405,scc,10.94909716
GSM189406,scc,10.46760555
GSM189407,scc,10.62844554
GSM189408,scc,10.88493365
GSM189409,scc,10.86573327
GSM189410,scc,11.1792871
GSM189411,scc,10.82257083
GSM189412,scc,10.71596199
GSM189413,scc,11.09077405
GSM189414,scc,10.30035256
GSM189415,scc,10.40194612
GSM189416,scc,10.6183855
GSM189417,scc,10.90388185
GSM189418,scc,10.9822806
GSM189419,scc,10.83368075
GSM189420,scc,10.69435789
GSM189421,scc,11.61608931
