"gene","spearman_rho","p"
"CLPP",0.718216472682669,6.61140523079286e-48
"THOP1",0.684794165250991,5.03801994163953e-42
"HDGFL2",0.672963168028824,3.97414384173242e-40
"WDR18",0.669724211776456,1.26858475712819e-39
"SGTA",0.635684240723535,1.09493378128139e-34
"DUS3L",0.626223315148932,2.01176016580941e-33
"MAP2K2",0.625746845275971,2.32325559994349e-33
"NDUFA11",0.614140152503415,7.18363283556423e-32
"UBXN6",0.614019736430466,7.43844011493094e-32
"TIMM13",0.596729405014739,9.53538186013254e-30
"GTF2F1",0.595563966316555,1.30874211987906e-29
"POLR2E",0.593205700166339,2.47406770927044e-29
"LSM7",0.590133791701444,5.6268871997922e-29
"ALKBH7",0.58586881967457,1.73560953588822e-28
"EIF3G",0.581960845887496,4.80172706311279e-28
"RPL36",0.577277250924666,1.5969065104357e-27
"MICOS13",0.569726927040846,1.06452735824088e-26
"MBD3",0.564956561672508,3.44240888017414e-26
"CD320",0.563530929812777,4.87071803191266e-26
"NCLN",0.556260632326049,2.7865328724398e-25
"FARSA",0.556188854902174,2.83432820739169e-25
"CACTIN",0.555999966944607,2.96400110720257e-25
"SIRT6",0.552173569144208,7.29116293104488e-25
"RANBP3",0.549971607778878,1.2175526435061e-24
"CDC34",0.549947996784182,1.22424034731639e-24
"POLRMT",0.543796388226141,5.02697124092944e-24
"SLC39A3",0.539235216270809,1.40627486576316e-23
"FAM174C",0.538199165823557,1.77258394571242e-23
"TIMM44",0.534597544692662,3.93927037964147e-23
"MYDGF",0.534314684976206,4.19254238601311e-23
"MRPL54",0.530124677857491,1.04804163297633e-22
"RPS15",0.52812388216697,1.61599418442002e-22
"TMEM161A",0.525846365618614,2.63632465843861e-22
"UQCR11",0.525351951389684,2.93042660326767e-22
"DHPS",0.524103401990171,3.82462903257542e-22
"PRDX2",0.522756276687802,5.09148798030138e-22
"XAB2",0.522224911252174,5.69776473273336e-22
"NDUFS7",0.520131088242551,8.85934299353369e-22
"SAFB",0.51846320757724,1.25648201639097e-21
"FBXW9",0.518287187611783,1.3035360547826e-21
"SLX9",0.511896517732447,4.88190176603457e-21
"PLEKHJ1",0.511268937493433,5.5495341941187e-21
"CCDC124",0.511086306449461,5.76016126306946e-21
"HMG20B",0.508762394296528,9.23524278671181e-21
"RAVER1",0.50510505121815,1.92725678217411e-20
"NDUFA13",0.504264972026874,2.27921273477656e-20
"DOHH",0.503566086583879,2.61959346013893e-20
"NDUFA7",0.502205148849613,3.43201153188523e-20
"ATP5F1D",0.502059705122287,3.53228082526859e-20
"BABAM1",0.500727690856524,4.59532014418978e-20
"ARMC6",0.50050799055088,4.79859148152432e-20
"MED16",0.497933919909145,7.9496858247385e-20
"RRP9",0.494347882034748,1.59480426387202e-19
"YJU2",0.493577691387772,1.85005120666542e-19
"MPND",0.493306637168664,1.94910982491524e-19
"ABHD17A",0.491395563257987,2.81176465530378e-19
"C19ORF25",0.486875002213531,6.6295176627183e-19
"EEF2",0.485287753095106,8.93247547771662e-19
"TCF3",0.481364196051533,1.85433644085025e-18
"GADD45GIP1",0.479088568382753,2.82041856628028e-18
"KXD1",0.478597931912975,3.08605172559581e-18
"APBA3",0.477804130271302,3.56872958341184e-18
"PIN1",0.476432803699371,4.58304572844198e-18
"RPL18A",0.475576196811807,5.35513202057431e-18
"UQCRC1",0.474567535118403,6.42903796213361e-18
"CHAF1A",0.473492880694824,7.80597764753194e-18
"QTRT1",0.473453096168762,7.86215817056386e-18
"FDX2",0.471618521880899,1.09324935968251e-17
"SPPL2B",0.470602304669192,1.31117220438056e-17
"MRPS2",0.470564999297573,1.31993532173167e-17
"ZNF653",0.46968667029489,1.54369830058799e-17
"MLLT1",0.468823452328811,1.79974906344221e-17
"DDX49",0.468253482916855,1.99120750725273e-17
"MRPL4",0.466675796251282,2.63159480905481e-17
"STUB1",0.465348386129485,3.32374074987476e-17
"POLD2",0.465216164559189,3.40176385936952e-17
"RPSA",0.464978165732655,3.54676010189448e-17
"GRHPR",0.463648276456415,4.47575123673243e-17
"ALYREF",0.462851759550352,5.1424314466703e-17
"TMEM259",0.462181207300992,5.77846912163358e-17
"ATP13A1",0.460468465745759,7.77438641447538e-17
"APEH",0.459476331748642,9.22521826185001e-17
"COPE",0.458133220315372,1.16196041842114e-16
"MRPL34",0.458014338957079,1.18587880311925e-16
"RPSA2",0.455216436085628,1.91122181959616e-16
"BTBD2",0.453855026131468,2.40702233070761e-16
"ZNF414",0.453528249964879,2.54364801164373e-16
"POC1A",0.453481382140407,2.56385695340596e-16
"CSNK1G2",0.451455676850482,3.60523373576107e-16
"FKBP8",0.451038706684155,3.86619697641089e-16
"IFRD2",0.450371459974051,4.32280312548341e-16
"SLC25A26",0.448892467266307,5.5315905591752e-16
"SUGP1",0.448174338862635,6.23243943669526e-16
"MRPL12",0.446088425536235,8.79937337483822e-16
"PMPCA",0.446023731410769,8.89367349329764e-16
"PRR22",0.445548205977595,9.61787338899611e-16
"NDUFB7",0.44554631709802,9.62086223824058e-16
"NTMT1",0.444968792167761,1.05787115019845e-15
"EXOSC4",0.441229282827842,1.94734290885942e-15
"KLF16",0.440799090504484,2.08795287109694e-15
"LSM4",0.439999268059164,2.37629813252401e-15
"RAD23A",0.438139075842057,3.206211858758e-15
"PPAN",0.436965609405676,3.86944868250168e-15
"DAZAP1",0.435921531220228,4.57127768325212e-15
