"sample","log2CNA","gistic"
"TCGA-2W-A8YY-01",-0.047,0
"TCGA-4J-AA1J-01",-0.081,0
"TCGA-BI-A0VR-01",0.01,0
"TCGA-BI-A0VS-01",0.058,0
"TCGA-BI-A20A-01",-0.307,-1
"TCGA-C5-A0TN-01",-0.213,-1
"TCGA-C5-A1BE-01",0.423,2
"TCGA-C5-A1BF-01",-0.709,-1
"TCGA-C5-A1BI-01",-0.044,0
"TCGA-C5-A1BJ-01",-0.072,0
"TCGA-C5-A1BK-01",0.33,1
"TCGA-C5-A1BL-01",-0.069,0
"TCGA-C5-A1BM-01",-0.075,0
"TCGA-C5-A1BN-01",-0.158,-1
"TCGA-C5-A1BQ-01",-0.003,0
"TCGA-C5-A1M5-01",-0.009,0
"TCGA-C5-A1M6-01",-0.344,-1
"TCGA-C5-A1M7-01",-0.027,0
"TCGA-C5-A1M8-01",-0.305,-1
"TCGA-C5-A1M9-01",-0.253,-1
"TCGA-C5-A1ME-01",-0.463,-1
"TCGA-C5-A1MF-01",-0.821,-1
"TCGA-C5-A1MH-01",0.113,1
"TCGA-C5-A1MI-01",-0.487,-1
"TCGA-C5-A1MJ-01",-0.245,-1
"TCGA-C5-A1MK-01",-0.043,0
"TCGA-C5-A1ML-01",-0.362,-1
"TCGA-C5-A1MN-01",-0.7,-1
"TCGA-C5-A1MP-01",-0.002,0
"TCGA-C5-A2LS-01",-0.002,0
"TCGA-C5-A2LT-01",0.076,0
"TCGA-C5-A2LV-01",-0.036,0
"TCGA-C5-A2LX-01",0.021,0
"TCGA-C5-A2LY-01",-0.087,0
"TCGA-C5-A2LZ-01",-0.044,0
"TCGA-C5-A2M1-01",-0.013,0
"TCGA-C5-A2M2-01",-0.03,0
"TCGA-C5-A3HD-01",-0.22,-1
"TCGA-C5-A3HE-01",-0.444,-1
"TCGA-C5-A3HF-01",0.001,0
"TCGA-C5-A3HL-01",0.012,0
"TCGA-C5-A7CG-01",0.16,1
"TCGA-C5-A7CH-01",0.141,1
