"sample","AFG3L2","FIS1","FOXP3","GZMA","GZMB","HAVCR2","HSPA9","HSPD1","IFNG","IL2RA","IL7R","IRF5","ITGAM","ITGAX","KLRD1","LAG3","LONP1","MFF","MFN1","MFN2","MIEF1","MIEF2","MRC1","MS4A1","MS4A4A","NCAM1","NKG7","NOS2","NRF1","NRP1","OPA1","PDCD1","PDCD1LG2","PINK1","PPARGC1A","PRF1","PRKN","PTGS2","SPG7","TFAM","TIGIT","YME1L1","CCR7","CCR8","CD1C","CD4","CD8A","CD8B","CD19","CD79A","CD86","CD163","CD274","CEACAM8","CLPP","CSF1R","CTLA4","DNM1L"
"TCGA-2W-A8YY-01",1925.7,1352.62,17.3891,73.6767,98.3548,172.747,9016.09,13380.2,8.9413,33.2618,13.2332,79.7568,248.212,409.156,13.2332,119.099,4478.54,1393.78,929.9,1938.48,913.805,313.305,142.346,67.5966,74.7496,36.0944,118.741,1.4306,497.139,535.05,1320.82,59.3705,52.5751,1774.32,30.7582,85.1216,25.0358,138.77,2121.24,843.348,43.2761,3629.11,33.6195,2.5036,8.5837,634.12,106.939,17.8827,31.8312,190.63,159.871,712.804,15.7368,0,1204.58,691.345,23.2475,2170.6
"TCGA-4J-AA1J-01",2801.18,872.606,43.4643,47.4156,90.1324,64.0752,3123.45,5789.41,0,22.6399,29.0474,1689.45,98.6758,250.32,8.1162,59.8035,1840.24,957.71,724.904,3230.67,982.059,149.936,121.743,5.126,67.4925,154.208,55.5318,0.8543,421.615,1013.67,1872.28,12.815,9.8249,732.593,12.815,99.1029,6.8347,419.479,1116.62,712.943,27.7659,3556.6,60.2307,3.8445,17.5139,284.921,63.648,13.2422,0.8543,7.689,82.4434,280.222,20.9312,0,780.863,326.783,15.378,1674.07
"TCGA-BI-A0VR-01",1423.17,907.511,300.611,233.422,911.681,467.236,6875.72,8688.87,31.0443,224.383,137.931,960.016,312.801,442.48,71.1268,407.506,1849.3,899.499,1593.08,5952.65,1074.37,158.758,205.914,143.826,108.852,75.0565,463.7,142.254,464.879,812.26,3119.36,120.641,76.6284,1321.15,14.9327,630.71,3.5367,275.862,882.601,712.447,317.909,3157.87,149.72,23.9709,36.1529,1146.28,788.29,248.747,78.9861,783.574,251.498,359.957,195.304,0.7859,994.204,759.603,214.952,1420.18
"TCGA-BI-A0VS-01",1114.45,863.426,156.855,78.2017,348.979,226.337,4000,5530.62,13.78,153.647,218.069,201.877,95.4268,355.525,39.6176,175.351,1779,541.211,1898.89,3733.01,1784.17,183.964,104.039,263.888,84.0582,54.7756,134.7,51.6751,476.1,808.544,2543.79,64.4217,53.7421,1911.98,301.438,263.543,11.713,478.167,1262.94,436.138,118.164,3235.21,344.156,12.7465,42.7181,887.09,210.49,55.1201,66.4887,336.577,266.644,399.966,13.4355,0.689,714.15,576.694,116.097,1947.12
"TCGA-BI-A20A-01",2939.3,1454.74,147.911,247.87,289.898,347.481,6989,3318.94,14.5611,40.043,44.3452,974.601,326.301,625.796,37.0646,218.085,1718.21,734.343,1133.45,3948.71,813.105,331.927,109.87,175.395,84.3882,29.4531,328.949,226.028,526.516,466.617,2837.1,98.6184,51.6257,1731.12,633.077,215.107,6.2877,277.654,947.464,603.624,222.057,2338.71,207.827,15.8848,216.762,1513.69,586.084,147.597,61.5537,333.251,287.251,111.194,84.3882,0.6619,1026.89,1326.71,116.82,1514.69
"TCGA-C5-A0TN-01",1226.06,718.636,45.9234,233.164,342.304,134.441,2986.98,13640.1,4.9609,54.0742,191.988,241.101,44.6484,73.4218,13.8906,218.281,1611.81,896.441,571.499,1813.22,918.269,343.793,80.8632,0,105.668,5.9531,123.527,0,319.98,698.003,1893.09,31.75,143.867,622.101,0,196.453,1.9844,5681.26,1101.82,519.906,37.207,1802.31,19.3476,3.9687,2.4805,317.004,105.172,19.3476,0.4961,5.9531,129.48,342.8,113.109,0,1329.03,405.308,65.4843,2762.74
"TCGA-C5-A1BE-01",1864.19,1053.78,104.361,58.8757,257.988,206.509,2980.77,5529.29,6.213,66.2722,64.2012,295.266,82.5444,177.219,9.4675,171.893,2731.36,689.349,6034.32,4377.51,909.763,118.935,61.8343,9.4675,64.497,8.284,90.5325,97.929,498.521,298.817,5981.66,38.1657,63.9053,734.615,2.9586,163.609,16.8639,106.213,1258.28,579.882,88.1657,2978.11,107.396,7.9882,23.3728,567.16,162.13,44.3787,0.8876,36.3905,187.574,263.905,136.095,0,1228.11,486.095,72.1893,1357.99
"TCGA-C5-A1BF-01",2276.68,1245.12,93.7286,603.695,456.802,256.526,8229.96,5653.6,3.941,74.8797,97.4511,236.821,77.7459,341.796,43.3514,91.3604,1850.14,964.121,702.221,4066.44,713.686,121.097,120.022,7.5238,114.29,254.376,223.206,29.7692,365.084,2407.26,1814.31,26.8707,102.109,1706.47,1393.34,516.634,10.7483,600.471,1035.78,654.571,77.0294,4134.15,128.621,5.7324,7.8821,1071.6,184.87,26.1542,3.941,103.184,245.061,632.716,71.6552,0.3583,656.72,952.298,47.2925,1609.02
"TCGA-C5-A1BI-01",1544.63,1135.61,153.511,312.216,950.855,451.639,5467.58,2842.65,69.051,130.173,80.2841,1638.72,212.769,562.65,118.939,355.166,1308.99,700.091,1440.49,4009.25,1231.02,227.967,547.782,108.037,171.141,37.9945,368.382,3.9646,429.173,574.213,2686.05,80.9449,83.2576,1523.09,5.6166,560.337,4.6254,1184.77,1116.71,570.579,209.466,3477.33,418.27,19.4929,47.5758,1168.91,521.682,142.067,40.6376,367.721,261.997,665.4,83.2576,0.3304,830.594,677.955,166.846,1799.95
"TCGA-C5-A1BJ-01",1243.31,1067.47,141.157,157.176,223.229,137.992,4729.66,8387.01,3.052,65.1811,231.295,712.632,109.216,354.463,32.4815,143.442,1613.18,1053.14,1206.83,5095.02,1404.77,141.698,110.743,131.67,64.5271,20.0557,181.591,9.3739,504.445,581.834,2633.4,50.3573,47.9593,678.407,21.1457,239.797,10.2459,1408.26,1377.96,809.423,189.657,3444.57,550.224,15.9138,78.0429,907.739,345.089,80.6589,27.0316,85.8908,197.505,214.073,59.9492,0.872,790.239,562.432,101.805,1813.95
"TCGA-C5-A1BK-01",1263.48,1171.6,415.04,769.148,1176.65,646.17,4961.11,6253.03,85.699,108.409,51.8479,1928.66,154.687,1315.91,155.972,857.418,2910.34,852.705,789.288,2916.76,953.83,268.238,68.9877,471.773,117.836,13.7118,1150.94,8.5699,369.791,403.214,2438.14,395.072,109.266,1519.01,2.9995,774.29,10.2839,33.8511,1059.24,379.647,477.343,2432.14,408.356,14.1403,83.5565,2774.5,1974.08,399.357,131.976,625.603,467.06,150.402,239.1,0.4285,2187.47,1206.21,285.378,747.724
"TCGA-C5-A1BL-01",3519.95,1232.71,96.2968,308.976,506.991,408.66,7661.25,8285.07,52.323,77.5823,78.4844,718.99,168.245,388.363,123.139,287.325,2350.47,1117.73,1970.68,4757.78,1380.69,78.0334,512.404,127.199,156.518,11.2765,343.257,4.0595,452.413,593.595,4903.02,66.3058,109.608,791.61,4.5106,559.765,0.9021,143.888,956.247,950.383,167.343,4768.16,102.842,14.4339,15.7871,1007.22,775.823,130.807,47.8124,138.927,246.73,571.493,244.926,0,768.606,631.033,94.2715,818.674
"TCGA-C5-A1BM-01",1405.23,1084.4,164.158,207.496,301.777,942.427,7352.4,7168.86,33.2303,84.2349,55.255,2516.23,294.436,1080.76,17.0015,247.295,1781.3,1001.16,1610.51,6066.46,1032.07,192.04,53.323,36.3215,303.709,15.8423,221.793,9.2736,336.553,926.971,2014.3,88.4853,136.399,1318.78,9.2736,272.798,2.7048,113.601,1136.79,379.83,149.536,2185.86,73.0294,15.456,66.0742,2808.35,244.977,51.0046,10.8192,151.468,733.771,907.651,139.49,1.932,731.839,2105.1,104.328,1100.46
"TCGA-C5-A1BN-01",1717.18,447.988,2.1393,102.716,54.9,14.1677,3669.09,12065.2,0.7084,3.5419,20.5432,88.9026,5.3129,23.0226,7.0839,7.0839,1423.86,900.714,790.914,4915.85,1144.75,376.862,34.0026,1.4168,7.4381,9.9174,25.8561,1.0626,345.339,623.735,1679.23,0.7084,77.9226,999.18,2.4794,55.6084,2.1252,1802.85,841.564,2954.33,7.4381,3900.03,8.8548,0,8.5006,156.199,6.7297,12.3968,0.3542,6.3755,34.711,18.0639,58.4419,0,955.968,107.321,4.2503,2934.49
"TCGA-C5-A1BQ-01",1782.77,1643.49,68.2406,614.518,565.514,503.768,6733.56,8166.79,71.2201,89.1884,17.9684,790.935,195.038,273.119,185.891,366.228,3539.11,1386.18,829.158,6445.74,721.348,130.026,221.501,4.2471,421.767,26.4625,654.375,20.2552,406.412,3398.63,1690.01,188.505,52.925,1551.16,1.6335,866.402,25.1557,19.2752,1726.92,284.227,199.939,3148.71,22.2154,4.9005,0.6534,987.933,1320.18,484.493,5.5539,61.4191,204.513,2172.54,253.844,0,1129.07,468.158,66.3196,1670.4
