"gene","class","rho","p","sig"
"MFN1","Fusion",-0.225389847036171,0.000100765496980589,"***"
"OPA1","Fusion",-0.223184842589613,0.000113706999916198,"***"
"MFN2","Fusion",-0.126330391009878,0.0304029366369048,"*"
"TFAM","Mitophagy/biogenesis",-0.100048992813994,0.0868072402524397,""
"YME1L1","Protease/chaperone",-0.0888106315586916,0.128634784305381,""
"PINK1","Mitophagy/biogenesis",-0.0850210669100173,0.145811359558621,""
"PPARGC1A","Mitophagy/biogenesis",-0.0654907515069755,0.262990508133271,""
"DNM1L","Fission",-0.0199494039934934,0.73337631969455,""
"MIEF1","Fission",0.0366133376872015,0.531758910566547,""
"PRKN","Mitophagy/biogenesis",0.0533679790290506,0.361862450812481,""
"SPG7","Protease/chaperone",0.0711736907408304,0.223569082552839,""
"MIEF2","Fission",0.0990134145866364,0.0901336430635046,""
"MFF","Fission",0.151559211062223,0.00930494989373441,"**"
"AFG3L2","Protease/chaperone",0.163551707488109,0.0049775265636352,"**"
"NRF1","Mitophagy/biogenesis",0.187090924760024,0.00129140982443585,"**"
"HSPA9","Protease/chaperone",0.228293999383753,8.15211106856879e-05,"***"
"FIS1","Fission",0.314996405226058,4.04308551969892e-08,"***"
"HSPD1","Protease/chaperone",0.328996347260637,7.52610314595337e-09,"***"
"CLPP","Protease/chaperone",0.718216472682669,0,"***"
