"sig","rho","p","padj"
"CD8 T cell",0.0598064134544892,0.306583043983299,0.498197446472861
"CD4/Th",-0.158576398685812,0.00648486850304455,0.0281010968465264
"B cell",-0.0178364537230407,0.760570995821585,0.82395191214005
"NK cell",-0.0244026713479399,0.676724836006288,0.799765715280159
"Macrophage M1",-0.221320255990405,0.000135005481189584,0.00118125299272211
"Macrophage M2",0.00146175668161636,0.980080069088504,0.980080069088504
"Monocyte",-0.0691587284534916,0.236978773091497,0.440103435741351
"Neutrophil",-0.111312853943567,0.056630442040579,0.122699291087921
"Dendritic cell",-0.217109471196357,0.000181731229649556,0.00118125299272211
"Treg",-0.120820529287668,0.0384671908545722,0.108843378815265
"Exhaustion",0.0462230082060012,0.429535633005276,0.584607302615012
"Checkpoint ligand",-0.118790928183618,0.0418628380058712,0.108843378815265
"Cytotoxicity",0.0442311846934644,0.449697925088471,0.584607302615012
