"type","grp","sample","LONP1"
"ACC","Tumor","TCGA-OR-A5J8-01",7.335
"ACC","Tumor","TCGA-OR-A5JJ-01",8.619
"ACC","Tumor","TCGA-PK-A5HA-01",7.341
"ACC","Tumor","TCGA-PK-A5HB-01",8.933
"ACC","Tumor","TCGA-OR-A5LK-01",6.855
"ACC","Tumor","TCGA-OR-A5JG-01",8.768
"ACC","Tumor","TCGA-OR-A5JZ-01",8.18
"ACC","Tumor","TCGA-OR-A5L6-01",7.229
"ACC","Tumor","TCGA-OR-A5LB-01",8.934
"ACC","Tumor","TCGA-OR-A5J1-01",8.151
"ACC","Tumor","TCGA-OR-A5LT-01",7.5
"ACC","Tumor","TCGA-OR-A5JV-01",7.657
"ACC","Tumor","TCGA-OR-A5K3-01",8.122
"ACC","Tumor","TCGA-OR-A5JB-01",5.463
"ACC","Tumor","TCGA-OR-A5LD-01",7.459
"ACC","Tumor","TCGA-PA-A5YG-01",7.61
"ACC","Tumor","TCGA-OR-A5JX-01",7.519
"ACC","Tumor","TCGA-OR-A5JK-01",8.018
"ACC","Tumor","TCGA-OR-A5K1-01",7.938
"ACC","Tumor","TCGA-OR-A5JW-01",8.43
"ACC","Tumor","TCGA-OR-A5LG-01",8.274
"ACC","Tumor","TCGA-OR-A5JR-01",8.404
"ACC","Tumor","TCGA-OR-A5KZ-01",7.782
"ACC","Tumor","TCGA-PK-A5H8-01",8.238
"ACC","Tumor","TCGA-OR-A5JP-01",9.329
"ACC","Tumor","TCGA-OR-A5K8-01",7.421
"ACC","Tumor","TCGA-OR-A5JC-01",7.864
"ACC","Tumor","TCGA-OR-A5J5-01",7.873
"ACC","Tumor","TCGA-OR-A5LM-01",8.332
"ACC","Tumor","TCGA-OR-A5JI-01",6.72
"ACC","Tumor","TCGA-OR-A5LE-01",8.704
"ACC","Tumor","TCGA-OR-A5L5-01",7.422
"ACC","Tumor","TCGA-OR-A5LL-01",8.308
"ACC","Tumor","TCGA-OR-A5LC-01",8.695
"ACC","Tumor","TCGA-OR-A5JF-01",8.225
"ACC","Tumor","TCGA-OR-A5K0-01",8.572
"ACC","Tumor","TCGA-OR-A5JY-01",8.397
"ACC","Tumor","TCGA-OR-A5L3-01",7.531
"ACC","Tumor","TCGA-OR-A5JS-01",8.973
"ACC","Tumor","TCGA-OR-A5JT-01",8.606
"ACC","Tumor","TCGA-OR-A5K4-01",8.84
"ACC","Tumor","TCGA-OR-A5K9-01",8.074
"ACC","Tumor","TCGA-OR-A5LO-01",8.226
"ACC","Tumor","TCGA-OR-A5K5-01",8.731
"ACC","Tumor","TCGA-OR-A5JD-01",6.952
"ACC","Tumor","TCGA-OR-A5K6-01",8.415
"ACC","Tumor","TCGA-OR-A5KW-01",8.389
