"type","nT","nN","medT","medN","p","padj","sig"
"ACC",77,128,8.122,7.5005,1.31589656106073e-08,1.62920526607518e-08,"***"
"BLCA",407,28,5.588,5.0705,1.04733611615298e-08,1.36153695099887e-08,"***"
"BRCA",1092,292,5.3815,5.0135,1.36528991521531e-30,5.07107682794257e-30,"***"
"CESC",304,13,5.616,5.236,0.000715327335578893,0.000743940429002049,"***"
"CHOL",36,9,5.725,5.046,0.000411135246819058,0.000445396517387313,"***"
"COAD",288,349,5.7735,4.932,8.57797717306874e-67,1.11513703249894e-65,"***"
"DLBC",47,0,5.934,NA,NA,NA,""
"ESCA",181,666,5.25,4.9525,1.57960109523809e-13,2.73797523174601e-13,"***"
"GBM",153,1157,5.825,5.118,1.75616640563303e-30,5.70754081830735e-30,"***"
"HNSC",518,44,5.367,4.741,1.11994992632757e-13,2.07990700603692e-13,"***"
"KICH",66,157,6.2805,5.429,2.49305442119197e-23,5.89267408645375e-23,"***"
"KIRC",530,157,5.4905,5.429,0.0366778767458774,0.0366778767458774,"*"
"KIRP",288,157,5.9935,5.429,4.02715719605838e-32,1.7451014516253e-31,"***"
"LGG",509,1157,5.953,5.118,6.66800003660871e-147,1.73368000951826e-145,"***"
"LIHC",369,160,5.765,5.15,1.09832041557638e-28,3.17292564499843e-28,"***"
"LUAD",513,397,5.398,5.119,2.37826158357509e-12,3.86467507330952e-12,"***"
"LUSC",498,397,5.5555,5.119,1.19273271348386e-23,3.10110505505805e-23,"***"
"MESO",87,0,5.711,NA,NA,NA,""
"OV",419,88,4.683,5.148,2.74716325801208e-10,3.75927603727969e-10,"***"
"PAAD",178,171,5.2405,3.888,1.3670524963746e-46,8.88584122643491e-46,"***"
"PCPG",177,3,6.009,8.035,NA,NA,""
"PRAD",495,152,5.585,5.288,5.21991714227141e-23,1.13098204749214e-22,"***"
"READ",92,10,5.543,4.915,0.000272174901509416,0.00030767597561934,"***"
"SARC",258,2,6.149,5.697,NA,NA,""
"SKCM",102,557,6.019,5.086,9.21370087257633e-50,7.98520742289949e-49,"***"
"STAD",414,210,4.844,4.5375,9.30245346602346e-11,1.34368772287006e-10,"***"
"TGCT",148,165,6.322,5.321,1.33397893969488e-43,6.93669048641339e-43,"***"
"THCA",504,59,5.585,5.248,4.16115842157514e-12,6.36412464476198e-12,"***"
"THYM",119,2,5.68,5.572,NA,NA,""
"UCEC",180,23,6.0505,5.32,1.85681537766485e-07,2.19441817360391e-07,"***"
"UCS",57,78,5.983,5.2585,5.48297327763805e-14,1.09659465552761e-13,"***"
"UVM",79,0,6.009,NA,NA,NA,""
