cluster,n,Epithelial,T_NK,B,Plasma,Myeloid,Mast,Endothelial,Fibroblast,SmoothMuscle
0,1580,0.133,0.09,0.009,0.198,0.12,4.523,0.016,0.078,0.026
1,5844,0.094,0.135,0.007,0.106,2.161,0.015,0.176,0.059,0.031
2,3372,1.744,0.053,0.003,0.013,0.101,0.018,0.014,0.038,0.023
3,709,0.906,0.142,0.003,0.02,0.177,0.005,0.019,0.011,0.008
4,5779,0.15,0.132,0.004,0.147,0.884,0.025,0.234,0.136,0.021
5,1513,0.062,0.054,0.002,0.119,0.849,0.007,0.142,0.024,0.014
6,8420,0.11,1.489,0.017,0.099,0.053,0.017,0.016,0.11,0.032
7,11634,0.085,1.934,0.046,0.118,0.089,0.014,0.067,0.08,0.035
8,4191,1.098,0.093,0.01,0.153,0.059,0.039,0.02,0.112,0.02
9,1068,1.709,0.289,0.03,0.28,0.216,0.11,0.058,0.332,0.079
10,5930,0.098,1.493,0.019,0.133,0.058,0.014,0.013,0.104,0.046
11,1985,0.129,1.078,0.024,0.205,0.043,0.019,0.073,0.075,0.021
12,1900,0.152,1.729,0.058,0.838,0.031,0.019,0.05,0.023,0.044
13,2698,0.098,0.08,0.364,3.266,0.043,0.017,0.153,0.048,0.009
14,4504,0.171,0.094,0.006,0.12,0.095,0.034,0.016,3.25,0.365
15,5406,1.347,0.071,0.009,0.283,0.088,0.037,0.155,0.304,0.042
16,2211,1.36,0.088,0.101,1.804,0.087,0.171,0.175,0.161,0.05
17,552,0.074,1.511,0.073,0.132,0.096,0.011,0.058,0.047,0.035
18,10,1.136,1.954,0.161,0.062,0.786,0.046,0.036,0.153,0.007
19,2111,1.082,0.079,0.006,0.094,0.041,0.015,0.009,0.33,0.041
20,1677,0.296,0.087,0.009,0.201,0.079,0.043,1.691,0.176,0.061
21,716,0.343,0.082,0.004,0.136,0.065,0.035,0.012,1.556,1.606
22,308,0.076,0.251,0.017,1.408,0.476,0.003,0.138,0.02,0.026
23,3015,1.654,0.036,0.013,0.149,0.043,0.025,0.008,0.038,0.026
24,1215,0.1,0.153,1.607,0.435,0.045,0.015,0.027,0.057,0.038
25,1596,0.071,1.726,0.008,0.05,0.029,0.008,0.031,0.056,0.027
26,480,1.133,0.209,0.032,0.336,0.136,0.02,0.042,0.238,0.099
27,11,1.685,0.302,0.248,0.891,0.179,0.707,0.09,0.079,0.032
