cell_type,stage,n,mean
B,Cancer,288,0.058937414756944445
B,HSIL,374,0.05862236310160428
B,Normal_HPVneg,162,0.019021133333333332
B,Normal_HPVpos,391,0.05885513598465473
Endothelial,Cancer,150,0.11545648846666667
Endothelial,HSIL,249,0.17858431823293172
Endothelial,Normal_HPVneg,530,0.10259362024528303
Endothelial,Normal_HPVpos,748,0.12926526985294118
Epithelial,Cancer,6346,0.11320028851969743
Epithelial,HSIL,4540,0.19629247878942732
Epithelial,Normal_HPVneg,5251,0.13168837256370214
Epithelial,Normal_HPVpos,4226,0.14231053339091337
Fibroblast,Cancer,574,0.11256666547038327
Fibroblast,HSIL,773,0.12894492186287193
Fibroblast,Normal_HPVneg,654,0.1074421364678899
Fibroblast,Normal_HPVpos,2503,0.10865386932081503
Mast,Cancer,252,0.07477995376984127
Mast,HSIL,218,0.043847358256880735
Mast,Normal_HPVneg,608,0.04887898110197369
Mast,Normal_HPVpos,502,0.04106569023904383
Myeloid,Cancer,5949,0.07901537425533703
Myeloid,HSIL,1407,0.050594343731343284
Myeloid,Normal_HPVneg,2908,0.041913547231774415
Myeloid,Normal_HPVpos,2872,0.0650909105884401
Plasma,Cancer,556,0.05336726055755396
Plasma,HSIL,383,0.0474539858224543
Plasma,Normal_HPVneg,3852,0.08870524820872275
Plasma,Normal_HPVpos,426,0.04121375286384977
SmoothMuscle,Cancer,76,0.12220626750000001
SmoothMuscle,HSIL,76,0.09662817381578948
SmoothMuscle,Normal_HPVneg,192,0.07201138927083334
SmoothMuscle,Normal_HPVpos,372,0.11153703118279569
T_NK,Cancer,10552,0.06454092735310842
T_NK,HSIL,5202,0.06740690974625144
T_NK,Normal_HPVneg,5388,0.04533880690794358
T_NK,Normal_HPVpos,10885,0.06151218186495176
