lib,term,p,padj,n_overlap,genes
GO_Biological_Process_2023,Establishment Of Endothelial Intestinal Barrier (GO:0090557),1.254978550947344e-05,0.010529270042448217,3,RAP2C;TJP1;F11R
GO_Biological_Process_2023,Golgi To Endosome Transport (GO:0006895),4.676253544823681e-05,0.019616883620535343,3,MON2;EPS15;KLHL20
GO_Biological_Process_2023,post-Golgi Vesicle-Mediated Transport (GO:0006892),0.00015120840471506613,0.04228795051864683,4,RAB10;MON2;EPS15;KLHL20
GO_Biological_Process_2023,Small GTPase Mediated Signal Transduction (GO:0007264),0.00020517487847309323,0.043035430759731305,5,ARHGAP32;RIT1;SHOC2;SOS2;RALGPS2
GO_Biological_Process_2023,Establishment Of Endothelial Barrier (GO:0061028),0.00032179542822181363,0.05399727285562033,3,RAP2C;TJP1;F11R
GO_Biological_Process_2023,miRNA Processing (GO:0035196),0.0004804858837601796,0.06718794274579845,3,PUS10;SMAD3;DICER1
GO_Biological_Process_2023,Regulation Of miRNA Metabolic Process (GO:2000628),0.0006265158123586112,0.06839305048304962,2,SMAD3;RC3H1
GO_Biological_Process_2023,Ras Protein Signal Transduction (GO:0007265),0.0006521387411971359,0.06839305048304962,5,RAP2C;RIT1;SHOC2;SOS2;RALGPS2
GO_Biological_Process_2023,Retinoid Metabolic Process (GO:0001523),0.0009308846411021167,0.07631982057787527,3,ALDH1A3;LRP1;ARID4A
GO_Biological_Process_2023,Regulation Of Actin Cytoskeleton Organization (GO:0032956),0.0009681046371414645,0.07631982057787527,4,PIK3CA;LRP1;RICTOR;F11R
GO_Biological_Process_2023,Regulation Of Lipid Transport (GO:0032368),0.0010006174330829893,0.07631982057787527,2,LRP1;ITGAV
GO_Biological_Process_2023,Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0030518),0.001150725295437434,0.0804548769060006,3,ZMIZ1;NCOA4;TRERF1
KEGG_2021_Human,Ras signaling pathway,1.7587405891051136e-06,0.0002989859001478693,9,RAB5B;TBK1;PIK3CA;RASA2;REL;SHOC2;RASAL2;GNG12
KEGG_2021_Human,Human cytomegalovirus infection,1.2838379006456898e-05,0.0010912622155488363,8,TBK1;PIK3CA;SP1;CXCR2;MDM2;ITGAV;GNG12;SOS2
KEGG_2021_Human,Endocytosis,0.00021312774798317593,0.012077239052379968,7,RAB10;EEA1;RAB5B;SMAD3;CXCR2;MDM2;EPS15
KEGG_2021_Human,Chronic myeloid leukemia,0.0004908969211448545,0.020863119148656316,4,SMAD3;PIK3CA;MDM2;SOS2
KEGG_2021_Human,Choline metabolism in cancer,0.0012754671084421658,0.04336588168703364,4,PIK3CA;SP1;DGKA;SOS2
KEGG_2021_Human,Proteoglycans in cancer,0.0030978043092356484,0.07388692484280418,5,PPP1R12A;PIK3CA;MDM2;ITGAV;SOS2
KEGG_2021_Human,FoxO signaling pathway,0.0036690070796085075,0.07388692484280418,4,SMAD3;PIK3CA;MDM2;SOS2
KEGG_2021_Human,Regulation of actin cytoskeleton,0.0040247406463762275,0.07388692484280418,5,PPP1R12A;PIK3CA;ITGAV;GNG12;SOS2
KEGG_2021_Human,Pathways in cancer,0.004026569297974642,0.07388692484280418,8,SMAD3;PIK3CA;SP1;NCOA4;MDM2;ITGAV;GNG12;SOS2
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,0.00464934015982711,0.07388692484280418,3,TJP1;CXCR2;F11R
KEGG_2021_Human,Adherens junction,0.00483775444800633,0.07388692484280418,3,TJP1;SMAD3;CTNND1
KEGG_2021_Human,Glioma,0.005637279828150711,0.07388692484280418,3,PIK3CA;MDM2;SOS2
