cell_type,gene,mean_expr,pct_pos
B,EPCAM,0.06419713795185089,0.03868312757201646
B,KRT5,0.2303301990032196,0.15720164609053497
B,KRT8,0.05258649215102196,0.03539094650205761
B,KRT17,0.09443967044353485,0.060082304526748974
B,CD3D,0.15985465049743652,0.09218106995884774
B,CD2,0.14589595794677734,0.07901234567901234
B,NKG7,0.10870283097028732,0.06419753086419754
B,MS4A1,2.5379090309143066,0.9448559670781893
B,CD79A,1.7468135356903076,0.8213991769547325
B,MZB1,0.2285124659538269,0.17037037037037037
B,JCHAIN,0.3599945306777954,0.21481481481481482
B,LYZ,0.04705607146024704,0.03209876543209877
B,CD68,0.04425537958741188,0.03374485596707819
B,AIF1,0.0622490793466568,0.04609053497942387
B,TPSAB1,0.007483650464564562,0.0049382716049382715
B,CPA3,0.0096201216802001,0.005761316872427984
B,PECAM1,0.06721702218055725,0.047736625514403296
B,VWF,0.011843455024063587,0.007407407407407408
B,COL1A1,0.05758540332317352,0.043621399176954734
B,DCN,0.04924289882183075,0.0345679012345679
B,ACTA2,0.016851041465997696,0.015637860082304528
B,TAGLN,0.03127088025212288,0.023868312757201648
Endothelial,EPCAM,0.16134385764598846,0.1765056648777579
Endothelial,KRT5,0.42779654264450073,0.3315444245676804
Endothelial,KRT8,0.31822383403778076,0.3154442456768038
Endothelial,KRT17,0.18696551024913788,0.1520572450805009
Endothelial,CD3D,0.11128655821084976,0.09838998211091235
Endothelial,CD2,0.0883808434009552,0.07990459153249851
Endothelial,NKG7,0.10795629024505615,0.09123434704830054
Endothelial,MS4A1,0.006916285026818514,0.007155635062611807
Endothelial,CD79A,0.019833287224173546,0.020870602265951103
Endothelial,MZB1,0.07937875390052795,0.0727489564698867
Endothelial,JCHAIN,0.16057941317558289,0.1693500298151461
Endothelial,LYZ,0.05600583925843239,0.05605247465712582
Endothelial,CD68,0.04281933605670929,0.06201550387596899
Endothelial,AIF1,0.06743555516004562,0.06499701848539058
Endothelial,TPSAB1,0.032198335975408554,0.02623732856290996
Endothelial,CPA3,0.03081383742392063,0.023255813953488372
Endothelial,PECAM1,1.8306764364242554,0.8479427549194991
Endothelial,VWF,1.6976689100265503,0.793082886106142
Endothelial,COL1A1,0.15072153508663177,0.11508646392367322
Endothelial,DCN,0.18872161209583282,0.148479427549195
Endothelial,ACTA2,0.038142506033182144,0.04889683959451401
Endothelial,TAGLN,0.10974378883838654,0.10971973762671437
Epithelial,EPCAM,0.9576928019523621,0.6494131513038354
Epithelial,KRT5,1.9504849910736084,0.6880125718214408
Epithelial,KRT8,1.3495159149169922,0.74340716004518
Epithelial,KRT17,1.1032453775405884,0.5331238029759858
Epithelial,CD3D,0.10415847599506378,0.10278446201443796
Epithelial,CD2,0.08879946917295456,0.08603840298580759
Epithelial,NKG7,0.10628484934568405,0.09802092029661641
Epithelial,MS4A1,0.013001066632568836,0.013848647055934783
Epithelial,CD79A,0.01505223847925663,0.021509600746451897
Epithelial,MZB1,0.10903572291135788,0.11859745617050532
Epithelial,JCHAIN,0.12557978928089142,0.14860285812503068
Epithelial,LYZ,0.09754352271556854,0.10740067769974955
Epithelial,CD68,0.0987304151058197,0.1476697932524677
Epithelial,AIF1,0.061915550380945206,0.07385945096498552
Epithelial,TPSAB1,0.022990962490439415,0.023523056524087805
Epithelial,CPA3,0.01931734010577202,0.02131316603643864
Epithelial,PECAM1,0.138676255941391,0.1569022246230909
Epithelial,VWF,0.02037493884563446,0.0416932672003143
Epithelial,COL1A1,0.11238405853509903,0.15670578991307765
Epithelial,DCN,0.20552638173103333,0.17399204439424446
Epithelial,ACTA2,0.03339585289359093,0.06703334479202475
Epithelial,TAGLN,0.040580857545137405,0.0546088493836861
Fibroblast,EPCAM,0.04541058465838432,0.0508436944937833
Fibroblast,KRT5,0.21167369186878204,0.21580817051509768
Fibroblast,KRT8,0.13560569286346436,0.15519538188277088
Fibroblast,KRT17,0.31595462560653687,0.2821936056838366
Fibroblast,CD3D,0.11589611321687698,0.0996891651865009
Fibroblast,CD2,0.10984792560338974,0.09369449378330373
Fibroblast,NKG7,0.09369304031133652,0.07060390763765542
Fibroblast,MS4A1,0.007532344199717045,0.007548845470692718
Fibroblast,CD79A,0.009172271005809307,0.011101243339253997
Fibroblast,MZB1,0.03468713536858559,0.03285968028419183
Fibroblast,JCHAIN,0.14417581260204315,0.1383214920071048
Fibroblast,LYZ,0.06671037524938583,0.057504440497335704
Fibroblast,CD68,0.18878403306007385,0.23490230905861456
Fibroblast,AIF1,0.07835960388183594,0.06460923623445826
Fibroblast,TPSAB1,0.027303263545036316,0.019094138543516874
Fibroblast,CPA3,0.02466125227510929,0.016873889875666074
Fibroblast,PECAM1,0.03450816869735718,0.04218472468916518
Fibroblast,VWF,0.00872145127505064,0.011767317939609237
Fibroblast,COL1A1,3.122159719467163,0.9589253996447602
Fibroblast,DCN,3.69915509223938,0.9733570159857904
Fibroblast,ACTA2,0.3148705065250397,0.33015097690941386
Fibroblast,TAGLN,0.7653154730796814,0.4678063943161634
Mast,EPCAM,0.03867807984352112,0.02911392405063291
Mast,KRT5,0.362396776676178,0.2291139240506329
Mast,KRT8,0.05995016545057297,0.04430379746835443
Mast,KRT17,0.11919161677360535,0.08227848101265822
Mast,CD3D,0.09231571108102798,0.05569620253164557
Mast,CD2,0.0866284891963005,0.05443037974683544
Mast,NKG7,0.15726137161254883,0.10316455696202531
Mast,MS4A1,0.00210641510784626,0.0018987341772151898
Mast,CD79A,0.023536527529358864,0.017721518987341773
Mast,MZB1,0.060448262840509415,0.03291139240506329
Mast,JCHAIN,0.19205492734909058,0.10632911392405063
Mast,LYZ,0.05859827995300293,0.03670886075949367
Mast,CD68,0.24970003962516785,0.19430379746835444
Mast,AIF1,0.12556703388690948,0.08417721518987342
Mast,TPSAB1,4.325719833374023,0.9753164556962025
Mast,CPA3,4.075764179229736,0.9810126582278481
Mast,PECAM1,0.031142009422183037,0.025949367088607594
Mast,VWF,0.016355670988559723,0.013924050632911392
Mast,COL1A1,0.05717974901199341,0.04240506329113924
Mast,DCN,0.08163759112358093,0.05886075949367089
Mast,ACTA2,0.015641028061509132,0.01139240506329114
Mast,TAGLN,0.038508083671331406,0.02911392405063291
Myeloid,EPCAM,0.030903136357665062,0.024284409257003654
Myeloid,KRT5,0.31343793869018555,0.17280755176613885
Myeloid,KRT8,0.05740348994731903,0.0438489646772229
Myeloid,KRT17,0.09953412413597107,0.06379415347137637
Myeloid,CD3D,0.13858231902122498,0.08000913520097443
Myeloid,CD2,0.1504659354686737,0.091047503045067
Myeloid,NKG7,0.15445192158222198,0.10711023142509135
Myeloid,MS4A1,0.006047897040843964,0.004795980511571254
Myeloid,CD79A,0.007569918408989906,0.0057856272838002435
Myeloid,MZB1,0.031433671712875366,0.020021315468940315
Myeloid,JCHAIN,0.10402736067771912,0.057247259439707675
Myeloid,LYZ,1.7582050561904907,0.5223051157125457
Myeloid,CD68,0.7182586193084717,0.36007917174177834
Myeloid,AIF1,2.088303804397583,0.7378958587088916
Myeloid,TPSAB1,0.013753006234765053,0.006699147381242387
Myeloid,CPA3,0.00961623340845108,0.0051766138855054815
Myeloid,PECAM1,0.57424396276474,0.34013398294762487
Myeloid,VWF,0.012971962802112103,0.007764920828258221
Myeloid,COL1A1,0.08718010038137436,0.04971071863580999
Myeloid,DCN,0.07882573455572128,0.045219244823386115
Myeloid,ACTA2,0.015132801607251167,0.013855054811205846
Myeloid,TAGLN,0.035879019647836685,0.0373020706455542
Plasma,EPCAM,0.3463480472564697,0.24784358826912017
Plasma,KRT5,0.9715656638145447,0.5150469618554725
Plasma,KRT8,0.6852297782897949,0.3659191105999617
Plasma,KRT17,0.2891671061515808,0.2073988882499521
Plasma,CD3D,0.1041618213057518,0.08338125359401956
Plasma,CD2,0.13181374967098236,0.09679892658616063
Plasma,NKG7,0.10697181522846222,0.08625646923519265
Plasma,MS4A1,0.014255698770284653,0.01360935403488595
Plasma,CD79A,0.6572831869125366,0.4723020893233659
Plasma,MZB1,1.9645664691925049,0.7623155069963581
Plasma,JCHAIN,3.0240182876586914,0.8213532681617788
Plasma,LYZ,0.10179545730352402,0.07897258961088749
Plasma,CD68,0.07866518199443817,0.06958021851638872
Plasma,AIF1,0.09456413239240646,0.07494728771324516
Plasma,TPSAB1,0.05460234731435776,0.04447000191681043
Plasma,CPA3,0.05805573612451553,0.0488786658999425
Plasma,PECAM1,0.466438889503479,0.446616829595553
Plasma,VWF,0.010535391047596931,0.014184397163120567
Plasma,COL1A1,0.04026549682021141,0.047536898600728385
Plasma,DCN,0.07471129298210144,0.06402146827678742
Plasma,ACTA2,0.02192193828523159,0.025493578685068047
Plasma,TAGLN,0.045697614550590515,0.04427832087406555
SmoothMuscle,EPCAM,0.07508183270692825,0.08100558659217877
SmoothMuscle,KRT5,0.3345487713813782,0.2835195530726257
SmoothMuscle,KRT8,0.3833026885986328,0.3756983240223464
SmoothMuscle,KRT17,0.09434667229652405,0.09636871508379888
SmoothMuscle,CD3D,0.10090865194797516,0.0824022346368715
SmoothMuscle,CD2,0.08957308530807495,0.07681564245810056
SmoothMuscle,NKG7,0.08255413174629211,0.06564245810055866
SmoothMuscle,MS4A1,0.0020494339987635612,0.002793296089385475
SmoothMuscle,CD79A,0.006461495067924261,0.008379888268156424
SmoothMuscle,MZB1,0.036801278591156006,0.02653631284916201
SmoothMuscle,JCHAIN,0.1466948688030243,0.13687150837988826
SmoothMuscle,LYZ,0.0508878268301487,0.04748603351955307
SmoothMuscle,CD68,0.08325366675853729,0.11312849162011174
SmoothMuscle,AIF1,0.07720983028411865,0.05865921787709497
SmoothMuscle,TPSAB1,0.027826011180877686,0.019553072625698324
SmoothMuscle,CPA3,0.018495609983801842,0.013966480446927373
SmoothMuscle,PECAM1,0.02410857193171978,0.034916201117318434
SmoothMuscle,VWF,0.008862968534231186,0.012569832402234637
SmoothMuscle,COL1A1,2.417724132537842,0.8603351955307262
SmoothMuscle,DCN,0.7529922723770142,0.44972067039106145
