level,gene,rho,p,n
"per-cell (n=20,363)",FIS1,0.1303297966227707,7.690791010063783e-78,20363
"per-cell (n=20,363)",MFF,0.11165330855279676,1.710569819409874e-57,20363
"per-cell (n=20,363)",DNM1L,0.11518703230667714,4.260003893841071e-61,20363
"per-cell (n=20,363)",MFN1,0.08642043655276166,4.607868941703192e-35,20363
"per-cell (n=20,363)",MFN2,0.09761580836973482,2.6521309688218e-44,20363
"per-cell (n=20,363)",OPA1,0.10779265869927694,1.0958060619954018e-53,20363
"per-cell (n=20,363)",CLPP,0.14989925967196543,1.2336711539516123e-102,20363
"per-cell (n=20,363)",HSPD1,0.12512425172020236,7.594695368844924e-72,20363
"per-cell (n=20,363)",HSPA9,0.10758078014639069,1.7567383086672193e-53,20363
pseudobulk sample x subcluster (n=63),FIS1,0.46193356374807987,0.00013840731016247421,63
pseudobulk sample x subcluster (n=63),MFF,0.3421178955453149,0.006061318994244515,63
pseudobulk sample x subcluster (n=63),DNM1L,0.3121639784946237,0.012749493256404067,63
pseudobulk sample x subcluster (n=63),MFN1,0.1942684331797235,0.12709556092411214,63
pseudobulk sample x subcluster (n=63),MFN2,-0.016561059907834103,0.8974954421498984,63
pseudobulk sample x subcluster (n=63),OPA1,0.4167146697388633,0.0006805710292632327,63
pseudobulk sample x subcluster (n=63),CLPP,0.48857526881720437,4.854368632890732e-05,63
pseudobulk sample x subcluster (n=63),HSPD1,0.25840053763440857,0.040875634324783194,63
pseudobulk sample x subcluster (n=63),HSPA9,0.45511712749615973,0.00017852072352291296,63
pseudobulk sample x subcluster (n=63),module_fission,0.4415802611367128,0.0002913616003571908,63
pseudobulk sample x subcluster (n=63),module_fusion,0.23627112135176656,0.06228233130823844,63
per-sample (n=9),FIS1,0.5499999999999999,0.12497678418833198,9
per-sample (n=9),MFF,0.18333333333333335,0.6368198117628943,9
per-sample (n=9),DNM1L,0.41666666666666663,0.26458604674749614,9
per-sample (n=9),MFN1,-0.31666666666666665,0.4063970144863861,9
per-sample (n=9),MFN2,-0.6666666666666667,0.04986723056888511,9
per-sample (n=9),OPA1,-0.19999999999999998,0.6059012741795533,9
per-sample (n=9),CLPP,0.5333333333333333,0.13922686754397814,9
per-sample (n=9),HSPD1,0.33333333333333337,0.38071318167686347,9
per-sample (n=9),HSPA9,0.38333333333333336,0.30849527238037144,9
