sample,sub,n,LONP1,FIS1,MFF,DNM1L,MFN1,MFN2,OPA1,CLPP,HSPD1,HSPA9,fission,fusion
GSM6360680_N_HPV_NEG_1,0,307,0.14797117,1.0053272,0.43459398,0.31093812,0.17190547,0.21502765,0.19592518,0.497029,1.7100317,0.7755859,0.7199606,0.19428611
GSM6360680_N_HPV_NEG_1,1,70,0.11879928,1.1942092,0.41863948,0.16724217,0.1756076,0.10228403,0.12283064,0.5013911,1.3361698,0.6244424,0.8064244,0.13357408
GSM6360680_N_HPV_NEG_1,2,148,0.07737088,1.125818,0.33637458,0.18414526,0.16495347,0.089747556,0.16576615,0.3450987,1.2092376,0.5112516,0.73109627,0.14015572
GSM6360680_N_HPV_NEG_1,3,55,0.1698709,0.43373132,0.3294445,0.051778667,0.15893717,0.0,0.100775786,0.15194996,0.5082624,0.1986456,0.38158792,0.086570986
GSM6360680_N_HPV_NEG_1,4,216,0.13678084,1.0436066,0.41432846,0.2865675,0.1789954,0.16828987,0.20089337,0.39676023,1.3006499,0.62442005,0.72896755,0.18272622
GSM6360680_N_HPV_NEG_1,5,281,0.11478442,1.0018139,0.3592433,0.27700806,0.15734345,0.16941647,0.1849622,0.38614434,1.5238984,0.647384,0.6805286,0.17057405
GSM6360680_N_HPV_NEG_1,6,761,0.10058172,0.9473054,0.3012644,0.22373173,0.17806692,0.1280391,0.16756113,0.33869,0.9299045,0.54740655,0.62428486,0.15788905
GSM6360680_N_HPV_NEG_1,7,91,0.0871823,0.8202115,0.39916816,0.20845515,0.20662946,0.16318764,0.18996908,0.28421795,1.1474274,0.55389833,0.60968983,0.18659538
GSM6360680_N_HPV_NEG_1,8,175,0.08643941,0.116630316,0.17018096,0.19874838,0.136828,0.09871299,0.093833715,0.12395334,0.69998986,0.39443496,0.14340565,0.10979157
GSM6360680_N_HPV_NEG_1,10,423,0.101193786,0.8474722,0.38225615,0.26942816,0.12065035,0.12345682,0.17154333,0.31469998,1.5124044,0.61465394,0.6148642,0.13855016
GSM6360680_N_HPV_NEG_1,13,455,0.23447794,1.048076,0.33897457,0.27228695,0.1777488,0.12604737,0.20178896,0.36825055,1.1142907,0.67271006,0.6935253,0.16852838
