sample_id,group,source,LONP1_log2TPM,EPCAM,KRT5,KRT8,KRT17,LONP1,epi_score,tumor
TCGA-EK-A2PG-01,Tumor,TCGA,5.386,5.877,11.58,4.779,10.62,5.386,-0.40336645252743064,1
TCGA-ZJ-AAX4-01,Tumor,TCGA,5.648,6.171,12.14,4.651,11.24,5.648,-0.2978127597510771,1
TCGA-EK-A2PM-01,Tumor,TCGA,6.972,7.43,12.51,8.555,13.06,6.972,0.4824645763019588,1
TCGA-DS-A5RQ-01,Tumor,TCGA,4.164,5.651,13.47,8.28,12.26,4.164,0.24138078712529876,1
TCGA-C5-A1MK-01,Tumor,TCGA,5.635,6.517,12.16,9.509,9.884,5.635,0.2001516558149272,1
TCGA-C5-A8YQ-01,Tumor,TCGA,5.335,2.118,13.36,4.381,12.19,5.335,-0.6290013415622699,1
TCGA-VS-A8Q9-01,Tumor,TCGA,5.958,6.118,10.14,4.328,12.55,5.958,-0.35459999332151726,1
TCGA-VS-A9UL-01,Tumor,TCGA,5.887,9.415,6.815,9.29,7.561,5.887,-0.029480712733399167,1
TCGA-C5-A1BM-01,Tumor,TCGA,5.36,3.672,13.09,7.958,11.25,5.36,-0.12887875167031507,1
TCGA-FU-A3TX-01,Tumor,TCGA,6.082,5.994,10.44,8.234,10.73,6.082,-0.04396510792104211,1
TCGA-DS-A1OA-01,Tumor,TCGA,5.411,6.18,11.22,8.006,11.46,5.411,0.06067061481942362,1
TCGA-C5-A3HL-01,Tumor,TCGA,5.327,5.65,14.09,9.108,12.55,5.327,0.40218244211797766,1
TCGA-VS-A8QH-01,Tumor,TCGA,5.53,10.29,3.195,11.73,5.514,5.53,-0.04229332872510644,1
TCGA-VS-A959-01,Tumor,TCGA,5.196,7.163,10.33,10.43,9.976,5.196,0.27565803724737775,1
TCGA-VS-A9UI-01,Tumor,TCGA,5.515,4.808,13.76,9.607,11.94,5.515,0.29389114091546104,1
TCGA-DS-A1O9-01,Tumor,TCGA,5.398,4.592,12.7,8.152,10.89,5.398,-0.05735696245631027,1
TCGA-MA-AA42-01,Tumor,TCGA,5.275,3.355,13.2,7.9,7.859,5.275,-0.4532808589622572,1
TCGA-C5-A8XJ-01,Tumor,TCGA,6.373,7.968,11.84,9.799,10.42,6.373,0.4233833810233986,1
TCGA-EK-A2RA-01,Tumor,TCGA,4.629,6.187,11.77,8.141,11.55,4.629,0.11921993740190592,1
TCGA-VS-A9UV-01,Tumor,TCGA,5.557,6.148,13.29,8.061,10.61,5.557,0.11978539984872465,1
TCGA-VS-A9UD-01,Tumor,TCGA,6.153,7.919,12.08,10.43,6.248,6.153,0.1520152121433897,1
TCGA-ZJ-A8QO-01,Tumor,TCGA,6.005,5.231,12.13,6.855,9.762,6.005,-0.26996401720980245,1
TCGA-C5-A7X5-01,Tumor,TCGA,5.359,6.41,13.03,5.723,12.83,5.359,0.04624563290390815,1
TCGA-VS-A9UT-01,Tumor,TCGA,4.906,5.839,4.633,8.404,6.108,4.906,-0.7956410207370066,1
TCGA-C5-A1MH-01,Tumor,TCGA,6.129,4.191,12.91,9.047,10.32,6.129,-0.032349281481967404,1
TCGA-C5-A7X3-01,Tumor,TCGA,4.817,6.167,10.97,10.6,12.76,4.817,0.460459738523633,1
TCGA-C5-A8XI-01,Tumor,TCGA,5.967,6.461,12.95,10.07,11.9,5.967,0.48077986954529917,1
TCGA-IR-A3LK-01,Tumor,TCGA,4.909,5.583,13.33,9.691,13.23,4.909,0.47412247117903206,1
TCGA-C5-A7CO-01,Tumor,TCGA,5.851,5.456,12.68,9.362,10.5,5.851,0.14818509320125314,1
TCGA-EA-A3HT-01,Tumor,TCGA,4.9,5.43,12.83,7.227,10.67,4.9,-0.08287921350116803,1
TCGA-MY-A5BF-01,Tumor,TCGA,6.015,6.641,13.77,9.647,11.48,6.015,0.4662988844884936,1
TCGA-EK-A2RK-01,Tumor,TCGA,5.895,5.746,13.06,10.84,9.165,5.895,0.26515813536126964,1
TCGA-VS-A954-01,Tumor,TCGA,5.928,4.885,12.68,2.167,12.24,5.928,-0.6169248166189386,1
TCGA-ZJ-AAXI-01,Tumor,TCGA,3.51,5.259,12.12,7.225,8.982,3.51,-0.2901874223180277,1
TCGA-VS-A952-01,Tumor,TCGA,6.052,10.23,1.078,10.41,8.911,6.052,-0.047086801721634985,1
TCGA-C5-A1BQ-01,Tumor,TCGA,6.253,3.294,13.77,10.76,11.12,6.253,0.19040702907136373,1
TCGA-C5-A2LZ-01,Tumor,TCGA,5.209,4.997,12.22,7.99,10.72,5.209,-0.07520055136414633,1
TCGA-EK-A3GM-01,Tumor,TCGA,5.676,10.22,2.365,10.32,12.24,5.676,0.30456918959532264,1
TCGA-VS-A8EK-01,Tumor,TCGA,6.157,5.914,11.09,5.863,12.26,6.157,-0.16209413049597438,1
TCGA-C5-A1BE-01,Tumor,TCGA,6.256,6.762,12.95,8.907,11.61,6.256,0.3527185105349139,1
TCGA-EK-A2GZ-01,Tumor,TCGA,4.565,7.09,12.14,7.761,11.51,4.565,0.1955574766108886,1
TCGA-FU-A3HZ-01,Tumor,TCGA,6.563,9.254,6.834,10.82,4.03,6.563,-0.16651895457664478,1
TCGA-HM-A3JK-01,Tumor,TCGA,5.963,4.22,12.52,6.414,10.25,5.963,-0.36997207049944214,1
TCGA-IR-A3LF-01,Tumor,TCGA,5.847,9.386,-0.013,10.47,7.056,5.847,-0.360687646638992,1
TCGA-Q1-A5R2-01,Tumor,TCGA,5.875,5.585,12.92,8.515,11.73,5.875,0.18239003357203593,1
TCGA-VS-A957-01,Tumor,TCGA,5.714,7.943,11.92,9.13,9.738,5.714,0.2885291571429908,1
TCGA-ZJ-AAXA-01,Tumor,TCGA,5.441,6.329,12.21,4.94,12.25,5.441,-0.1555887928969015,1
TCGA-ZX-AA5X-01,Tumor,TCGA,5.668,6.029,12.06,7.014,11.16,5.668,-0.04673433474484619,1
TCGA-JX-A3Q0-01,Tumor,TCGA,6.316,3.352,13.33,9.605,9.583,6.316,-0.09756085347741657,1
TCGA-LP-A4AV-01,Tumor,TCGA,6.071,2.894,11.34,7.36,11.37,6.071,-0.38547793452375406,1
TCGA-VS-A953-01,Tumor,TCGA,6.087,5.908,13.34,6.692,13.61,6.087,0.1897795895329249,1
TCGA-VS-A9V4-01,Tumor,TCGA,5.31,9.953,0.5271,11.27,6.966,5.31,-0.1766024150523519,1
TCGA-EX-A69M-01,Tumor,TCGA,5.57,7.558,7.31,8.175,9.844,5.57,-0.14484812338076014,1
TCGA-MY-A5BD-01,Tumor,TCGA,5.656,8.258,11.21,10.73,11.38,5.656,0.6084710114774324,1
TCGA-VS-A9V3-01,Tumor,TCGA,5.164,5.453,12.02,9.98,11.48,5.164,0.2632117575706894,1
TCGA-ZJ-AAXF-01,Tumor,TCGA,5.639,3.251,13.29,7.201,12.24,5.639,-0.16885458812356818,1
TCGA-C5-A1MJ-01,Tumor,TCGA,6.283,9.017,0.8246,9.4,4.271,6.283,-0.7135578239987235,1
TCGA-DR-A0ZM-01,Tumor,TCGA,5.086,1.281,13.2,10.77,8.417,5.086,-0.3004552123805929,1
TCGA-VS-A9UZ-01,Tumor,TCGA,6.617,9.193,3.363,10.2,4.003,6.617,-0.464476480630609,1
TCGA-EA-A3HQ-01,Tumor,TCGA,5.603,5.804,12.47,6.071,11.64,5.603,-0.11698379821195654,1
TCGA-FU-A23L-01,Tumor,TCGA,4.68,7.606,11.7,9.164,11.53,4.68,0.39353681162293697,1
TCGA-IR-A3LA-01,Tumor,TCGA,5.816,8.752,8.333,10.01,2.384,5.816,-0.3656037511661001,1
TCGA-IR-A3LL-01,Tumor,TCGA,6.197,3.278,12.35,8.372,10.42,6.197,-0.24099808471454656,1
TCGA-MU-A5YI-01,Tumor,TCGA,5.265,6.534,11.66,7.496,9.351,5.265,-0.11191630964648959,1
TCGA-VS-A8EJ-01,Tumor,TCGA,6.101,7.643,3.342,10.67,6.035,6.101,-0.41169889028596285,1
TCGA-EA-A3QD-01,Tumor,TCGA,6.048,7.029,8.489,8.447,9.694,6.048,-0.11179695922634955,1
TCGA-EA-A5FO-01,Tumor,TCGA,5.976,8.004,12.89,11.36,11.37,5.976,0.7577518666971969,1
TCGA-EK-A2RO-01,Tumor,TCGA,6.095,5.702,13.44,9.227,12.7,6.095,0.3944658181706705,1
