lib,term,p,padj,n_overlap,genes
GO_Biological_Process_2023,Translation (GO:0006412),3.1958735515088694e-15,2.348967060359019e-12,17,GADD45GIP1;RPS9;NDUFA7;DHPS;MRPS2;RPSA;RPL23A;MRPL37;APEH;MRPL12;MRPL34;MRPL4;RPL18A;RPL14;RACK1;RPL29;UBA52
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),2.4079024530457294e-09,8.849041514943056e-07,11,RPS9;RPL18A;DHPS;POLD2;RPL14;RPSA;RPL23A;MRPL37;RPL29;MRPL12;MRPL34
GO_Biological_Process_2023,Gene Expression (GO:0010467),3.6214990566759428e-09,8.87267268885606e-07,13,RPS9;ALYREF;DHPS;RPSA;RPL23A;MRPL37;MRPL12;MRPL34;EXOSC4;RPL18A;RPL14;STUB1;RPL29
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),8.121694788241666e-09,1.4923614173394061e-06,10,RPS9;RPL18A;DHPS;RPL14;RPSA;RPL23A;MRPL37;RPL29;MRPL12;MRPL34
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),2.4673220235872126e-08,3.6269633746732024e-06,8,RPS9;RPL18A;RACK1;RPL14;RPSA;RPL23A;RPL29;UBA52
GO_Biological_Process_2023,Mitochondrial Translation (GO:0032543),6.894561431963229e-07,8.445837754154956e-05,7,MRPL4;GADD45GIP1;NDUFA7;MRPS2;MRPL37;MRPL12;MRPL34
GO_Biological_Process_2023,Mitochondrial Gene Expression (GO:0140053),9.671252054913046e-07,0.00010154814657658698,7,MRPL4;GADD45GIP1;NDUFA7;MRPS2;MRPL37;MRPL12;MRPL34
GO_Biological_Process_2023,Ribosome Assembly (GO:0042255),5.5190445322269966e-06,0.0005070622163983554,5,PPAN;MPV17L2;MRPS2;RPSA;RPL23A
GO_Biological_Process_2023,Mitochondrial Ribosome Assembly (GO:0061668),1.057938118914941e-05,0.0008639827971138685,3,DHX30;MPV17L2;MRPS2
GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),1.2575811329913023e-05,0.000868305316287696,5,NDUFA13;NDUFA7;NDUFB7;MDH2;UQCRC1
GO_Biological_Process_2023,rRNA Processing (GO:0006364),1.2995045549883887e-05,0.000868305316287696,6,DDX49;EXOSC4;PES1;NHP2;RPL14;RRP9
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),7.420052784284086e-05,0.004544782330374003,5,NDUFA13;NDUFA7;NDUFB7;MDH2;UQCRC1
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),9.743741360681377e-05,0.0053911402198139335,5,NDUFA13;NDUFB7;SAMM50;UQCC5;ECSIT
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),0.00010268838513931302,0.0053911402198139335,5,DDX49;EXOSC4;PES1;RPL14;RRP9
GO_Biological_Process_2023,protein-RNA Complex Assembly (GO:0022618),0.00011991535704284434,0.005875852495099373,6,XAB2;PPAN;EIF3G;RPSA;RPL23A;LSM4
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),0.00014350338909075024,0.0064131600037020215,6,RPS9;EXOSC4;DDX49;PES1;RPL14;RRP9
GO_Biological_Process_2023,ncRNA Processing (GO:0034470),0.00016033559543799543,0.0064131600037020215,5,DDX49;EXOSC4;PES1;RPL14;RRP9
GO_Biological_Process_2023,Regulation Of Cell Growth (GO:0001558),0.00016380094466361147,0.0064131600037020215,7,PHB1;NDUFA13;EXOSC4;DDX49;BRAT1;MLST8;RACK1
GO_Biological_Process_2023,Ribosomal Large Subunit Biogenesis (GO:0042273),0.0001657823674426373,0.0064131600037020215,4,PES1;PPAN;RPL14;RPL23A
GO_Biological_Process_2023,Ribosomal Large Subunit Assembly (GO:0000027),0.00018482643389906202,0.00679237144579053,3,DHX30;PPAN;RPL23A
