sample,sub,n,LONP1,CLPP,HSPD1,HSPE1,HSPA9,TRAP1,DNAJA3,PHB2,PMPCB,AFG3L2,YME1L1,SPG7,ATF4,ATF5,DDIT3,TFAM,NRF1,PPARGC1A,POLRMT,FIS1,MFF,DNM1L,MIEF1,MIEF2,MFN1,MFN2,OPA1,PINK1,PRKN,THOP1,TIMM13,NDUFA11,SHMT2,MTHFD2,fission,fusion,proteostasis
GSM6360680_N_HPV_NEG_1,0,319,0.14407861,0.5002864,1.7074243,1.7729752,0.7693335,0.3883687,0.19345129,1.076602,0.33205676,0.43780077,0.5729483,0.20417032,0.6512861,0.1839927,0.23974068,0.5618359,0.03715863,0.001803706,0.10558734,0.9978546,0.42825434,0.30942607,0.13059516,0.027640037,0.16929968,0.21140595,0.19395162,0.15983671,0.0028462983,0.14379855,1.2346324,1.2680274,0.41249126,0.21762979,0.7130545,0.19155242,1.0276777
GSM6360680_N_HPV_NEG_1,1,1011,0.10523706,0.34554228,1.0860599,1.2051684,0.57642615,0.2685465,0.13579774,0.74498135,0.23952863,0.31342432,0.5023756,0.17519498,0.52464145,0.12306313,0.17873983,0.3177968,0.023096057,0.00031586774,0.073155224,0.95412034,0.31514597,0.23973663,0.08513406,0.03479855,0.17492633,0.1393273,0.1744404,0.24273106,0.005825573,0.0640937,1.0234231,1.1084847,0.21365981,0.108926564,0.6346332,0.162898,0.69634867
GSM6360680_N_HPV_NEG_1,2,241,0.13745835,0.40391606,1.2812521,1.5225152,0.61568666,0.21436916,0.12257908,0.87112945,0.2912826,0.3331695,0.53280866,0.21557872,0.6432783,0.18002912,0.36963648,0.48153505,0.0358068,0.08439882,0.103005275,1.0601124,0.42103356,0.27217358,0.11547106,0.054453745,0.17052214,0.16400678,0.19206457,0.28896958,0.0052399123,0.073823266,0.96764344,1.3243266,0.20302875,0.10806144,0.740573,0.17553116,0.8075478
GSM6360680_N_HPV_NEG_1,3,70,0.11879933,0.50139135,1.3361702,1.6529707,0.62444264,0.2838183,0.14142649,0.9430367,0.2947535,0.2723393,0.405958,0.1735494,0.45637965,0.1823455,0.2840196,0.29101044,0.004846273,0.016527299,0.07320561,1.1942095,0.41863957,0.16724217,0.06534092,0.021381075,0.17560771,0.10228408,0.122830704,0.37181935,0.010075616,0.05769589,1.210681,1.2846451,0.31088465,0.12463354,0.8064245,0.13357416,0.8797586
GSM6360680_N_HPV_NEG_1,4,89,0.08475749,0.2723808,1.1412433,1.4040037,0.5496901,0.2078313,0.11212926,0.69023204,0.32045397,0.33823562,0.5347516,0.2684175,0.6221095,0.14689298,0.38748208,0.2745211,0.046596956,0.0042504882,0.07496369,0.81466085,0.39365506,0.20102178,0.11545318,0.03322496,0.20236926,0.16685477,0.18985407,0.12027396,0.012410337,0.09641205,0.7552792,0.9971148,0.21110678,0.15095747,0.6041579,0.18635939,0.71502984
GSM6360680_N_HPV_NEG_1,5,55,0.1698709,0.15194996,0.5082624,0.76361763,0.1986456,0.0,0.10852565,0.24472818,0.11501839,0.09357743,0.26818728,0.02867764,0.3409501,0.094192296,0.0,0.24991187,0.0,0.05373978,0.0,0.43373132,0.3294445,0.051778667,0.0,0.0,0.15893717,0.0,0.10079425,0.18176875,0.0,0.0,0.35152486,0.5821346,0.0,0.18752158,0.38158792,0.08657714,0.3244951
GSM6360680_N_HPV_NEG_1,8,455,0.23447822,0.36979786,1.1169147,1.5013695,0.6742579,0.20886183,0.121187225,0.6284305,0.28820193,0.2940297,0.5961414,0.23223309,0.7067098,0.23381016,0.4197213,0.39465168,0.031750567,0.13918196,0.09332402,1.052054,0.33310664,0.27353764,0.09543817,0.0663384,0.17774905,0.12604752,0.2022891,0.37209526,0.008716542,0.06565361,0.75428146,1.0322903,0.13202,0.28361273,0.69258034,0.16869523,0.7742404
GSM6360680_N_HPV_NEG_1,10,174,0.07932669,0.12466572,0.67367184,0.6642518,0.38061857,0.057026025,0.054157812,0.14351438,0.06106035,0.13105007,0.38777804,0.29913023,0.26159644,0.061412323,0.15524139,0.100002505,0.02626576,0.033987243,0.048194498,0.11730061,0.17573148,0.19989061,0.025513118,0.02546678,0.13761437,0.099283405,0.0867635,0.06819434,0.037180256,0.06864977,0.12033921,0.14891106,0.037561845,0.046091147,0.14651604,0.10788709,0.3800468
GSM6360680_N_HPV_NEG_1,13,421,0.10167451,0.31424233,1.513104,1.5092452,0.6139733,0.17514367,0.11857132,0.90031374,0.39766756,0.3092682,0.48512003,0.18760125,0.7971262,0.1854461,0.43061706,0.5303613,0.027239267,0.001360774,0.06356443,0.8476285,0.38310748,0.26902452,0.096680105,0.04531255,0.12122356,0.12305527,0.17235868,0.11194854,0.0014400225,0.07210014,0.8888269,1.0852438,0.2852457,0.038627464,0.61536795,0.13887918,0.8251417
GSM6360680_N_HPV_NEG_1,14,149,0.076851614,0.34551102,1.2085094,1.5058396,0.51054883,0.1669774,0.11937839,0.66007143,0.21876515,0.26208827,0.52640265,0.15598638,0.40228373,0.12755951,0.29945952,0.3097482,0.009636763,0.0,0.026645442,1.1266909,0.3368455,0.18290938,0.06494316,0.035345413,0.1665748,0.08914523,0.16465364,0.18788153,0.0036126387,0.04274735,1.132553,1.2113063,0.17696722,0.09365082,0.73176813,0.14012456,0.7474773
GSM6360681_N_HPV_NEG_2,1,380,0.06151724,0.29299945,0.81955373,1.2151699,0.464043,0.26009828,0.13193463,0.58228385,0.1924023,0.32734555,0.4196887,0.21581748,0.34338322,0.068097435,0.0914206,0.30392674,0.024515687,0.0010486126,0.046357878,0.880411,0.2529075,0.22079553,0.0681361,0.02137083,0.14999026,0.18045223,0.16948913,0.18290214,0.005811184,0.052331906,0.9668921,1.1290715,0.14484632,0.077788375,0.5666593,0.16664387,0.6103729
GSM6360681_N_HPV_NEG_2,2,182,0.08496753,0.29329026,1.0873429,1.5573204,0.5375322,0.20019284,0.123475954,0.60861164,0.22317146,0.43971995,0.5307664,0.26876488,0.4882966,0.117163986,0.20837909,0.60554194,0.092439994,0.20507723,0.06502894,1.0162457,0.27254558,0.31509608,0.105812594,0.034423057,0.17718367,0.20629436,0.22819553,0.16035984,0.023772983,0.068550296,0.7220707,1.3714318,0.16547506,0.049590614,0.6443956,0.20389119,0.7351357
GSM6360681_N_HPV_NEG_2,10,201,0.06048917,0.042441867,0.36389115,0.37044632,0.31366625,0.09248499,0.07626154,0.20339882,0.12747209,0.23313618,0.3346495,0.66904277,0.34975004,0.051013757,0.080198705,0.1391966,0.052310307,0.061902743,0.01663847,0.22921586,0.14047724,0.28974724,0.0613116,0.026076531,0.19437025,0.11497286,0.08515923,0.0683213,0.026261237,0.07207318,0.079503626,0.24604,0.017034777,0.037128795,0.18484655,0.13150078,0.23658612
GSM6360681_N_HPV_NEG_2,11,1175,0.17205857,0.34965312,1.0462465,1.5153579,0.65268683,0.21203825,0.15527068,0.67059934,0.3138831,0.38695288,0.56031114,0.33289737,0.5582791,0.1267197,0.22328936,0.54012173,0.055481464,0.14906892,0.10853184,1.1035781,0.25929737,0.2943718,0.10686519,0.069724336,0.20032328,0.15369609,0.21808082,0.23599096,0.013864246,0.05088925,0.6670336,1.4353821,0.12664267,0.0997925,0.68143773,0.19070005,0.7551965
GSM6360681_N_HPV_NEG_2,13,50,0.09284918,0.31628007,0.9543202,1.431319,0.6299296,0.2456372,0.11521143,0.5522185,0.33877414,0.3430619,0.5386021,0.26103726,0.5504211,0.060397007,0.26403508,0.54173833,0.06489906,0.0,0.04624195,0.6407844,0.28028396,0.23859972,0.089819126,0.05260369,0.16817619,0.1078665,0.11943472,0.075795434,0.025892947,0.0,0.5638065,1.0809965,0.26022276,0.021884184,0.4605342,0.1318258,0.7154972
GSM6360681_N_HPV_NEG_2,17,80,0.21307495,0.26372758,0.8993391,1.2242273,0.30004272,0.11142515,0.10991081,0.5730897,0.21514356,0.11490671,0.3099931,0.17402622,0.36448184,0.042855047,0.05996872,0.29976422,0.09438506,0.0283088,0.067734554,0.84776574,0.19112223,0.12803629,0.04686179,0.058303595,0.15972829,0.107042074,0.15842575,0.16261546,0.0,0.03455922,0.4435783,0.9777404,0.04933684,0.062575914,0.519444,0.14173204,0.55975235
GSM6360682_N_1,0,158,0.16115852,0.46795475,1.8648053,1.8527274,0.88158494,0.43347916,0.17045674,0.9081505,0.3860195,0.5144953,0.74937344,0.28137517,0.78819937,0.20343493,0.36190167,0.5976427,0.04485733,0.002045267,0.11222471,0.83027464,0.28714377,0.35854194,0.12608021,0.039372634,0.14757657,0.21807833,0.22590034,0.18038122,0.0012330784,0.19792989,1.075143,1.0723238,0.4444517,0.24266632,0.5587092,0.19718508,1.1001103
GSM6360682_N_1,1,107,0.18491317,0.3854133,1.4879653,1.5761127,0.777653,0.37566558,0.18170251,0.8184375,0.37545592,0.46382663,0.64315826,0.2241854,0.617282,0.10849859,0.29668075,0.48863038,0.04828235,0.0,0.079333685,0.8562695,0.2602761,0.37079197,0.13767257,0.067017086,0.13510337,0.18441615,0.16954847,0.2804327,0.008153807,0.117396064,1.1063845,1.0139966,0.27043483,0.13419046,0.55827284,0.16302265,0.92056197
GSM6360682_N_1,2,177,0.13717829,0.3443769,1.3752896,1.575327,0.79521096,0.18906938,0.11122863,0.70482343,0.3555155,0.39114672,0.7115004,0.220879,0.83486724,0.20558484,0.47967044,0.5409102,0.024435695,0.12672089,0.064799726,0.95971173,0.2080672,0.34156275,0.09089932,0.07024908,0.15286984,0.13138013,0.14511149,0.24988021,0.019316921,0.09241089,0.60345626,1.0908966,0.13809204,0.095913224,0.5838895,0.14312048,0.8558548
GSM6360682_N_1,4,56,0.07364488,0.33254924,1.5911772,1.7235689,0.68717825,0.23422454,0.1403997,0.5924779,0.2037519,0.33132058,0.57458675,0.27569637,0.61097443,0.09224241,0.5222985,0.36169055,0.06988696,0.055199765,0.07099847,0.6676716,0.27883568,0.3383256,0.12184079,0.00885846,0.16523251,0.14966619,0.14937706,0.13644728,0.0,0.07675503,0.6611299,0.8385008,0.25929818,0.1079169,0.47325367,0.15475859,0.9137396
GSM6360682_N_1,5,217,0.05222475,0.12268001,0.47857705,0.90537584,0.27319068,0.07082518,0.028305348,0.2801218,0.106379665,0.09861389,0.17114784,0.023754722,0.42854556,0.021881217,0.08978933,0.1088287,0.0081013385,0.019015603,0.01869791,0.53583515,0.12035964,0.11095916,0.006867769,0.0,0.06336,0.037887998,0.027642298,0.19596012,0.0,0.038835395,0.36421534,0.5862369,0.064729996,0.117648214,0.3280974,0.042963427,0.37012973
GSM6360682_N_1,8,953,0.19755791,0.33110216,1.1745379,1.5553344,0.74034506,0.2013924,0.12784918,0.58955854,0.28170127,0.33895683,0.5853863,0.22864752,0.8153127,0.2216773,0.55933744,0.42607793,0.045898084,0.10717948,0.1021344,0.9658169,0.22033906,0.2831373,0.09853225,0.07437572,0.15380068,0.12393585,0.19764642,0.31836924,0.019561766,0.06244943,0.56427705,1.0243143,0.11374666,0.24029307,0.59307796,0.15846099,0.8005424
GSM6360682_N_1,10,138,0.062466007,0.10438083,1.0775999,0.70239204,0.43077305,0.06274842,0.039447695,0.15918092,0.105331376,0.11274837,0.441986,0.25543776,0.37479892,0.03870712,0.28758645,0.08016541,0.0377999,0.010723292,0.029921632,0.09513898,0.145812,0.24673006,0.07321064,0.010746131,0.12561844,0.07749919,0.09676745,0.053143945,0.014036583,0.0654855,0.050045192,0.21166413,0.035453245,0.086662695,0.12047549,0.09996169,0.47557887
GSM6360682_N_1,13,305,0.085566096,0.2620679,1.5298024,1.516197,0.7021849,0.17334223,0.11293282,0.6593624,0.34419635,0.36401016,0.53583014,0.26956916,0.8942726,0.1265897,0.59211993,0.51120734,0.04466176,0.0023053933,0.067282915,0.62957335,0.23807101,0.34729534,0.09452719,0.06828284,0.11537472,0.15703219,0.14580703,0.113701254,0.0078396965,0.09215147,0.5406396,0.8038744,0.21813579,0.08050722,0.43382218,0.13940465,0.8367189
GSM6360682_N_1,17,72,0.20882064,0.32723343,1.4736803,1.9331256,0.7143844,0.20682019,0.10008153,0.38167986,0.22469719,0.28399384,0.49206808,0.2599164,0.5240321,0.1531239,0.36967778,0.37988505,0.0892399,0.05835287,0.10744609,1.0172077,0.22623184,0.23025554,0.05079823,0.10725375,0.23363715,0.10007904,0.19926247,0.23453143,0.020534262,0.13322648,0.55861115,1.0342124,0.057640545,0.2277128,0.62171984,0.17765956,0.9310487
GSM6360682_N_1,18,92,0.16580208,0.32958415,1.2903378,1.6177217,0.77857417,0.24446233,0.13608347,0.6225095,0.3678267,0.2975174,0.72403735,0.29957077,0.8819104,0.17731515,0.54004174,0.42366925,0.047230393,0.12172179,0.1139052,0.847951,0.22294454,0.27623123,0.13558196,0.039273832,0.14523143,0.10311388,0.17244092,0.3036669,0.0070278407,0.0906856,0.50216156,0.87450564,0.10256036,0.25417563,0.5354477,0.14026208,0.852136
GSM6360683_N_2,0,131,0.14481537,0.41033962,1.5248535,1.7034541,0.86578,0.46255812,0.19224201,0.88980806,0.32855046,0.550056,0.5888252,0.23384887,0.6079298,0.13688481,0.1580399,0.5250657,0.050897002,0.008961621,0.0966292,0.7894531,0.37647256,0.3598699,0.110042885,0.030430688,0.14205095,0.27275154,0.2891401,0.13325912,0.0045149075,0.18398559,0.89711434,1.1482301,0.3516009,0.34754452,0.5829629,0.23464754,0.993397
GSM6360683_N_2,1,240,0.16376995,0.34264582,1.2321709,1.4789399,0.75582194,0.3814656,0.17031519,0.7643839,0.23947887,0.52050614,0.46988124,0.25250474,0.5655564,0.09866999,0.1222205,0.41022232,0.04006742,0.0,0.099144734,0.7810843,0.3002614,0.3141669,0.13112597,0.037428,0.17856263,0.27055562,0.250907,0.20216192,0.008646362,0.09213345,0.9038312,1.1271911,0.22985767,0.16028085,0.5406729,0.23334174,0.83820885
