level,gene,rho,p,n
"per-cell (n=20,363)",CLPP,0.14989921177292465,1.233856059541093e-102,20363
"per-cell (n=20,363)",HSPD1,0.12512416929182116,7.596320760107304e-72,20363
"per-cell (n=20,363)",HSPE1,0.12638195563611096,2.852086117363705e-73,20363
"per-cell (n=20,363)",HSPA9,0.10758053782032209,1.7576858889611638e-53,20363
"per-cell (n=20,363)",TRAP1,0.14600200408157893,2.06733697771825e-97,20363
"per-cell (n=20,363)",DNAJA3,0.11311942903548272,5.647483056625804e-59,20363
"per-cell (n=20,363)",PHB2,0.12575624498277171,1.4659012778337744e-72,20363
"per-cell (n=20,363)",PMPCB,0.12914049319112797,1.8952304310558473e-76,20363
"per-cell (n=20,363)",AFG3L2,0.14489784933199115,5.881830513749121e-96,20363
"per-cell (n=20,363)",YME1L1,0.11139039718230218,3.138283710007013e-57,20363
"per-cell (n=20,363)",SPG7,0.09568897418925927,1.243062840767286e-42,20363
"per-cell (n=20,363)",ATF4,0.07721580187899255,2.6073873845904465e-28,20363
"per-cell (n=20,363)",ATF5,0.11849752798522085,1.4107269121702308e-64,20363
"per-cell (n=20,363)",DDIT3,0.09468039579588768,9.030569474941441e-42,20363
"per-cell (n=20,363)",TFAM,0.14481497089725395,7.55432412524153e-96,20363
"per-cell (n=20,363)",NRF1,0.0697764668783083,2.0921798777753543e-23,20363
"per-cell (n=20,363)",PPARGC1A,0.0809967088779329,5.423877938877717e-31,20363
"per-cell (n=20,363)",POLRMT,0.11066297538946707,1.6695190229825919e-56,20363
"per-cell (n=20,363)",FIS1,0.13032990919824403,7.688447550310824e-78,20363
"per-cell (n=20,363)",MFF,0.11165349495712422,1.709833110666623e-57,20363
"per-cell (n=20,363)",DNM1L,0.11518708439264456,4.259474621446638e-61,20363
"per-cell (n=20,363)",MIEF1,0.1252253083025847,5.841493641915799e-72,20363
"per-cell (n=20,363)",MIEF2,0.06354912952282636,1.115935005184704e-19,20363
"per-cell (n=20,363)",MFN1,0.08642055532647765,4.6068925242420777e-35,20363
"per-cell (n=20,363)",MFN2,0.09761594876550048,2.6513801165069107e-44,20363
"per-cell (n=20,363)",OPA1,0.10779273306226526,1.0956243789752649e-53,20363
"per-cell (n=20,363)",PINK1,0.11059447745483096,1.9529752800668662e-56,20363
"per-cell (n=20,363)",PRKN,0.03452620248313301,8.306681699591294e-07,20363
"per-cell (n=20,363)",THOP1,0.09701790839645369,8.824152260989072e-44,20363
"per-cell (n=20,363)",TIMM13,0.13339430982131742,1.7355370142744286e-81,20363
"per-cell (n=20,363)",NDUFA11,0.11873946219964822,7.783517326227213e-65,20363
"per-cell (n=20,363)",SHMT2,0.1311175086661349,9.057021200094261e-79,20363
"per-cell (n=20,363)",MTHFD2,0.13070350248477536,2.79228942064779e-78,20363
"per-cell (n=20,363)",fission,0.12878228332268044,4.946056875315978e-76,20363
"per-cell (n=20,363)",fusion,0.09455617056302583,1.1512103789678064e-41,20363
"per-cell (n=20,363)",proteostasis,0.1868874281893502,1.9522744992559602e-159,20363
pseudobulk sample x subcluster (n=58),CLPP,0.4517210618597927,0.00037177516984333685,58
pseudobulk sample x subcluster (n=58),HSPD1,0.2419330031683534,0.06729732779001497,58
pseudobulk sample x subcluster (n=58),HSPE1,0.3113291703835861,0.01736679679892335,58
pseudobulk sample x subcluster (n=58),HSPA9,0.44969085484019816,0.00039802178291826497,58
pseudobulk sample x subcluster (n=58),TRAP1,0.4922021594020118,8.696180570235144e-05,58
pseudobulk sample x subcluster (n=58),DNAJA3,0.4711618321080317,0.00018925996007072325,58
pseudobulk sample x subcluster (n=58),PHB2,0.21966224737764928,0.09756298739883225,58
pseudobulk sample x subcluster (n=58),PMPCB,0.4643329539512136,0.0002410208224635696,58
pseudobulk sample x subcluster (n=58),AFG3L2,0.3828785874680858,0.003013316790258218,58
pseudobulk sample x subcluster (n=58),YME1L1,0.4142545141345474,0.001226004354053779,58
pseudobulk sample x subcluster (n=58),SPG7,0.2025592912731859,0.1272789367716964,58
pseudobulk sample x subcluster (n=58),ATF4,0.162447322279984,0.22309384676516025,58
pseudobulk sample x subcluster (n=58),ATF5,0.46833184656556653,0.00020933303905063777,58
pseudobulk sample x subcluster (n=58),DDIT3,0.002122489156848873,0.9873839548220391,58
pseudobulk sample x subcluster (n=58),TFAM,0.4383093912455013,0.0005789382512107866,58
pseudobulk sample x subcluster (n=58),NRF1,0.29616869437651117,0.023985650024685373,58
pseudobulk sample x subcluster (n=58),PPARGC1A,0.4488130908031487,0.00040988218920345984,58
pseudobulk sample x subcluster (n=58),POLRMT,0.6187920083171893,2.253708750141079e-07,58
pseudobulk sample x subcluster (n=58),FIS1,0.5059829585653205,5.080466949006832e-05,58
pseudobulk sample x subcluster (n=58),MFF,0.27804607954720234,0.034574488354519865,58
pseudobulk sample x subcluster (n=58),DNM1L,0.3128672060044911,0.016792179266034078,58
pseudobulk sample x subcluster (n=58),MIEF1,0.3539635177950722,0.006412936411819378,58
pseudobulk sample x subcluster (n=58),MIEF2,0.3375580650557828,0.009560035476814116,58
pseudobulk sample x subcluster (n=58),MFN1,0.19794518441047096,0.13636338347123306,58
pseudobulk sample x subcluster (n=58),MFN2,0.047217693561782896,0.7248625371923131,58
pseudobulk sample x subcluster (n=58),OPA1,0.47257682487926417,0.00017989788792033233,58
pseudobulk sample x subcluster (n=58),PINK1,0.34818050386046945,0.0073994653656689275,58
pseudobulk sample x subcluster (n=58),PRKN,0.21435970333634263,0.10613296088461756,58
pseudobulk sample x subcluster (n=58),THOP1,0.23532306937892716,0.07536799733118547,58
pseudobulk sample x subcluster (n=58),TIMM13,0.211849026423452,0.11038805183468574,58
pseudobulk sample x subcluster (n=58),NDUFA11,0.3877387800301455,0.0026362089451788255,58
pseudobulk sample x subcluster (n=58),SHMT2,0.150422197289275,0.2597126351633206,58
pseudobulk sample x subcluster (n=58),MTHFD2,0.46513273247408415,0.0002343533817666138,58
pseudobulk sample x subcluster (n=58),fission,0.45504321880094745,0.0003322018266455058,58
pseudobulk sample x subcluster (n=58),fusion,0.2894275431418992,0.02755031605874864,58
pseudobulk sample x subcluster (n=58),proteostasis,0.36263803869697625,0.005148946025799994,58
per-sample (n=9),CLPP,0.5333333333333333,0.13922686754397814,9
per-sample (n=9),HSPD1,0.33333333333333337,0.38071318167686347,9
per-sample (n=9),HSPE1,0.7666666666666667,0.01594401657897403,9
per-sample (n=9),HSPA9,0.38333333333333336,0.3084952723803716,9
per-sample (n=9),TRAP1,0.5666666666666667,0.1116329876114912,9
per-sample (n=9),DNAJA3,0.06666666666666667,0.8646897846262036,9
per-sample (n=9),PHB2,0.35,0.35581957250178897,9
per-sample (n=9),PMPCB,0.6666666666666667,0.049867230568885125,9
per-sample (n=9),AFG3L2,0.7666666666666667,0.01594401657897403,9
per-sample (n=9),YME1L1,0.38333333333333336,0.3084952723803716,9
per-sample (n=9),SPG7,0.19999999999999998,0.6059012741795534,9
per-sample (n=9),ATF4,-0.049999999999999996,0.8983528043506303,9
per-sample (n=9),ATF5,-0.19999999999999998,0.6059012741795534,9
per-sample (n=9),DDIT3,0.06666666666666667,0.8646897846262036,9
per-sample (n=9),TFAM,0.5833333333333334,0.09918581647988327,9
per-sample (n=9),NRF1,0.11666666666666665,0.765007942926146,9
per-sample (n=9),PPARGC1A,0.65,0.058073058017148654,9
per-sample (n=9),POLRMT,0.9333333333333332,0.00023589981215941651,9
per-sample (n=9),FIS1,0.5499999999999999,0.12497678418833194,9
per-sample (n=9),MFF,0.18333333333333335,0.6368198117628943,9
per-sample (n=9),DNM1L,0.41666666666666663,0.26458604674749636,9
per-sample (n=9),MIEF1,0.5166666666666667,0.15439012098622507,9
per-sample (n=9),MIEF2,-0.2333333333333333,0.5456987782182728,9
per-sample (n=9),MFN1,-0.31666666666666665,0.406397014486386,9
per-sample (n=9),MFN2,-0.6666666666666667,0.049867230568885125,9
per-sample (n=9),OPA1,-0.19999999999999998,0.6059012741795534,9
per-sample (n=9),PINK1,-0.35,0.35581957250178897,9
per-sample (n=9),PRKN,0.6166666666666666,0.07692880993776312,9
per-sample (n=9),THOP1,0.03333333333333333,0.9321567355405039,9
per-sample (n=9),TIMM13,0.25,0.5164895523012261,9
per-sample (n=9),NDUFA11,0.6333333333333333,0.06708578689234572,9
per-sample (n=9),SHMT2,0.3666666666666667,0.3317398014330152,9
per-sample (n=9),MTHFD2,-0.08333333333333334,0.831214097710308,9
per-sample (n=9),fission,0.5833333333333334,0.09918581647988327,9
per-sample (n=9),fusion,-0.3,0.43284532670948234,9
per-sample (n=9),proteostasis,0.65,0.058073058017148654,9
