gene,rho_pb,p_pb,pct_rank_pb,rho_pb_sample_centered,p_pb_sample_centered,detect_frac_epi,bulk_rho_TCGA,on_19p13_3
ACTR1B,0.811621397151558,1.0952843927206925e-14,1.0,0.766218585622443,2.4008101239849006e-12,0.2953395865049341,0.1765533378272926,False
DHRS7B,0.8027007905503092,3.5211352294721935e-14,0.99992927864215,0.7951951767202928,8.991496661747765e-14,0.31149634140351834,0.2169092499613369,False
IFT27,0.7802454704850964,5.208137180877615e-13,0.9998585572842998,0.7029745608908302,7.64988504059072e-10,0.2670529882630358,0.1067105988574639,False
ZNHIT1,0.7669568427204774,2.2211762698907e-12,0.9997878359264498,0.6974991540804085,1.1743356199383308e-09,0.7068211953050481,0.2665291719742215,False
PNKD,0.7667107570211326,2.2795808887524177e-12,0.9997171145685997,0.692392875819004,1.7365734383509749e-09,0.603987624613147,0.2620407218825518,False
TMEM9,0.7633270786551416,3.2468686562624712e-12,0.9996463932107497,0.7159555815312683,2.661624719786591e-10,0.3703285370524665,0.1665044984847644,False
NDUFAF3,0.7625888215571073,3.5046268133729756e-12,0.9995756718528995,0.7013134824202528,8.720960170485746e-10,0.5178018955948632,0.340993999265698,False
ARFIP1,0.7620966501584177,3.687172481245044e-12,0.9995049504950495,0.7050047679104248,6.509821563138001e-10,0.3577567156116228,-0.1025970913615634,False
WDR34,0.7620351287335815,3.710617542344754e-12,0.9994342291371995,0.7504075794395398,1.1894682636329962e-11,0.4240043215635686,,
SUMF2,0.7604355716878403,4.372491741459962e-12,0.9993635077793493,0.6893783260020302,2.1795805576421643e-09,0.5074890733191711,0.0898777304639678,False
PTPMT1,0.7601279645636593,4.512049848372727e-12,0.9992927864214993,0.7449936940539543,2.0025935704667306e-11,0.4662868928939061,0.185098629027593,False
TMEM223,0.7565597219231598,6.4741615798848356e-12,0.9992220650636492,0.7152788458580701,2.8162581825115906e-10,0.33727839709274854,0.1797011556401353,False
BABAM2,0.7540373435048756,8.325792475835443e-12,0.9991513437057992,0.6920237472699867,1.7858311455113875e-09,0.22604724254777045,0.0203425247000518,False
NDUFS1,0.7522532221846258,9.929054078083035e-12,0.999080622347949,0.7330585376357316,6.0388919369294e-11,0.505131856799013,-0.0998072162283087,False
TAF6,0.7475775938970747,1.564318180507367e-11,0.999009900990099,0.7051893321849334,6.414583999226024e-10,0.23257869665571246,0.2439434847230961,False
DMTN,0.743805466350648,2.2412622163885083e-11,0.998939179632249,0.7068504106555108,5.614908909136454e-10,0.15503609487796485,-0.0232188160738928,False
SUCLG2,0.7365037374265588,4.418026054716495e-11,0.9988684582743989,0.6392383647605279,6.639592423136394e-08,0.4410450326572122,0.1591973678463113,False
IL20RA,0.7358885231781968,4.6732545518280106e-11,0.9987977369165488,0.6058322310744717,4.6787850801307424e-07,0.35530128173645803,-0.1367962005187335,False
SPCS1,0.7353348303546711,4.914891949609491e-11,0.9987270155586987,0.7022978252176321,8.070250991470549e-10,0.7493493100229021,0.3184691103259144,False
DPAGT1,0.7350887446553263,5.02605749180012e-11,0.9986562942008487,0.7108493032698637,4.059601849835192e-10,0.2030152727987118,0.0223220704953468,False
CYB5D2,0.7304551118264057,7.623425312442537e-11,0.9985855728429985,0.7285059521978529,9.060526954001211e-11,0.23572165201592515,0.1533645077166633,False
MIPEP,0.7290596450213787,8.628054796407826e-11,0.9985148514851485,0.7453628226029715,1.9335136982288075e-11,0.15479055149044824,0.1702605355209706,False
LRP5,0.7283213879233443,9.209205487362104e-11,0.9984441301272985,0.6701221200282999,8.746477339285578e-09,0.2861071551343145,0.0395069788197571,False
CPT2,0.7280137807991633,9.462167196288266e-11,0.9983734087694484,0.6742440554923252,6.552797203816166e-09,0.20321170750872508,0.0772067721054986,False
RITA1,0.7277676950998185,9.669275838658698e-11,0.9983026874115983,0.6509889569042419,3.155042688389126e-08,0.1546923341354416,0.2560062238582018,False
PGRMC1,0.7273985665508013,9.988032279776625e-11,0.9982319660537482,0.6172752160940047,2.4590504990101075e-07,0.6253990080045839,-0.0182595627479891,False
PGAP4,0.7271329037881149,1.0223593452931201e-10,0.9981612446958982,0.629087329662555,1.231572767867478e-07,0.25448116682219213,-0.1122544604120354,False
AHCYL1,0.7269679165769479,1.0372533094363004e-10,0.998090523338048,0.6855024762373496,2.9075025941715842e-09,0.5954427147275736,-0.1080370645394734,False
ELMOD2,0.7269063951521118,1.0428596446277419e-10,0.998019801980198,0.7158325386815959,2.689126737470712e-10,0.23817708589109132,-0.0975419773971948,False
PIGP,0.7264757451782583,1.0829177398585014e-10,0.997949080622348,0.7364422160017225,4.442939755728782e-11,0.386190639886031,0.0907287887677775,False
CALM2,0.7264142237534221,1.0887582755178593e-10,0.9978783592644979,0.7376726444984466,3.969160574174699e-11,0.8641653980256072,0.0045505470077196,False
SEC13,0.7248146667076809,1.2515492801322688e-10,0.9978076379066478,0.6014642099111015,5.941637346810803e-07,0.3704267544074731,0.3442598720520197,False
RAB11B,0.7246916238580086,1.264985740961667e-10,0.9977369165487977,0.6506813497800609,3.2184182326197964e-08,0.47168884741926864,0.4301141709648515,False
EPCAM,0.7237688024854656,1.370216780935323e-10,0.9976661951909477,0.6215817158325386,1.9174367902187441e-07,0.6494131513036955,0.1406721814079944,False
DDAH1,0.722699194186872,1.5025870014269083e-10,0.9975954738330975,0.690854840198099,1.9506908786408577e-09,0.21401561655945622,0.0998719103537753,False
ACP6,0.7224768525639054,1.5315871880137386e-10,0.9975247524752475,0.6435448644990618,5.073603288057662e-08,0.13617836271668868,0.2093995369883939,False
GSR,0.7209388169430004,1.7472430969574192e-10,0.9974540311173975,0.6121689378326002,3.286979206391842e-07,0.458625939203392,0.0136289744682508,False
ADD3,0.720815774093328,1.7656877425041478e-10,0.9973833097595474,0.7522532221846258,9.929054078083035e-12,0.5283111525805685,-0.103737030185476,False
ZNHIT2,0.7206140229592374,1.796331815402905e-10,0.9973125884016973,0.6449598572702944,4.6401391570608505e-08,0.16348278740853647,0.3550581243661923,False
MLEC,0.7194623027469316,1.9811680516625735e-10,0.9972418670438472,0.6375157648651143,7.385242787324516e-08,0.6401807199330759,0.1455384074147967,False
RFXANK,0.7166938386293027,2.5021367857243775e-10,0.9971711456859972,0.7073425820542004,5.396752943887451e-10,0.3859450964985145,0.4166776261033713,False
TRAF3IP1,0.7164477529299579,2.554263320037976e-10,0.997100424328147,0.6325325294533821,1.0011141312889073e-07,0.29018317536708804,-0.0596534142088605,False
PIGT,0.7158325386815959,2.689126737470712e-10,0.997029702970297,0.6504967855055523,3.257017795718315e-08,0.4562687226832338,0.1350282092359127,False
SLC25A4,0.7153403672829063,2.801855740659824e-10,0.996958981612447,0.6919622258451505,1.7941683319557834e-09,0.36949368953491046,0.3174184210619517,False
CFAP298,0.7152173244332338,2.830730872391474e-10,0.9968882602545969,0.6525885139499831,2.8440249011512172e-08,0.39075774689383747,0.2027044033324557,False
PIGO,0.7149514743143822,2.894086672909645e-10,0.9968175388967468,0.6236734442769695,1.6968767729136787e-07,0.1410401217895177,0.0153969657510716,False
PARVA,0.7149097173090528,2.90415942448998e-10,0.9967468175388967,0.4728844320034452,0.00017791954430006668,0.3625693660069458,-0.0553425187973031,False
OMA1,0.7147866744593805,2.9340340231864174e-10,0.9966760961810467,0.7314589805899905,6.970580447021683e-11,0.2660708147129699,-0.0662461942027925,False
CLCN4,0.7147389545295939,2.945698648421118e-10,0.9966053748231966,0.6683897399402928,9.861701397097695e-09,0.030300054019545695,-0.0534116116510814,False
SNX4,0.7147251530345443,2.949080472745892e-10,0.9965346534653465,0.7333046233350764,5.906516960362468e-11,0.2749103766635631,-0.1472450101114084,False
SPA17,0.7137825492638725,3.1889735852428076e-10,0.9964639321074965,0.5498477344735304,7.7974249801633e-06,0.20434120709130152,0.1122591826109746,False
GON7,0.7130750419964588,3.381079811890568e-10,0.9963932107496464,0.6576947922113876,2.0335335797064387e-08,0.3133133624711403,0.1432556964476078,False
LARP1B,0.7125719031652773,3.5243221629358013e-10,0.9963224893917964,0.6254575655972192,1.5278279890816473e-07,0.3580022589991393,0.0585470029974157,False
ERGIC3,0.7123258174659325,3.5964613211336837e-10,0.9962517680339462,0.695161339936633,1.4060882750809085e-09,0.5682365073907478,0.2585477113272566,False
APOO,0.7119566889169153,3.707302407592439e-10,0.9961810466760962,0.7372419945245932,4.1292356216787505e-11,0.2158326376270792,0.2064835791434639,False
FANCF,0.7115985050905518,3.8179499106317486e-10,0.9961103253182461,0.7127564674397859,3.471121142779444e-10,0.18234051956981265,-0.0317371907402401,False
TMBIM6,0.7114029960933895,3.8796597150054445e-10,0.996039603960396,0.6031868098065151,5.409616195378369e-07,0.8730540686537037,-0.1607353880407951,False
NR2F6,0.7112184318188809,3.938782378438462e-10,0.995968882602546,0.6378233719892953,7.246555521714496e-08,0.4932475568432154,0.2199800959314715,False
JPT2,0.7104801747208466,4.183931933485863e-10,0.9958981612446959,0.73502722323049,5.054220084645943e-11,0.5222707852476631,-0.0316550244786988,False
PBRM1,0.7101110461718293,4.3118688529190533e-10,0.9958274398868459,0.678489033806023,4.843707082412419e-09,0.4947208171683143,0.0110393205700166,False
DDB1,0.7099264818973208,4.3772206211378694e-10,0.9957567185289957,0.6958995970346673,1.3285908912072532e-09,0.4509158768353746,0.0969517025298,False
PEX2,0.708757574825433,4.813451923627528e-10,0.9956859971711457,0.6832877049432465,3.4211872662369336e-09,0.38201640229825085,-0.0534521045069846,False
GFER,0.7076501891783814,5.264514105914196e-10,0.9956152758132956,0.6404072718324156,6.174639670302564e-08,0.26106172960763374,0.2796526350460355,False
COX17,0.7068504106555108,5.614908909136454e-10,0.9955445544554455,0.702913039465994,7.687224962359566e-10,0.6418995236456913,0.1252782850862333,False
ASL,0.706604324956166,5.727098193288815e-10,0.9954738330975955,0.6424990002768464,5.4182132407709275e-08,0.2916564356921869,0.183298054572092,False
NEK4,0.7061121535574764,5.957885874910158e-10,0.9954031117397454,0.7005137038973822,9.285970779691479e-10,0.15479055149044824,0.0295267294168202,False
RMDN3,0.705373896459442,6.320668664995298e-10,0.9953323903818954,0.7765541849949245,7.869613303286763e-13,0.2560526445022976,0.0370534423059442,False
G6PC3,0.7049432464855886,6.541864276011145e-10,0.9952616690240452,0.6068165738718508,4.4313149383094524e-07,0.19584540588322658,0.1910274678506793,False
GPS1,0.704451075086899,6.803644367439805e-10,0.9951909476661952,0.640222707557907,6.245955180168774e-08,0.31945194715905223,0.391848186026305,False
MANSC1,0.7043280322372266,6.870624580138688e-10,0.9951202263083451,0.6213356301331939,1.9450872765373008e-07,0.2194175710848218,-0.0183332290514401,False
TMED4,0.7034052108646837,7.393279914145211e-10,0.99501414427157,0.6357931649697007,8.209232985914943e-08,0.5843932622893321,0.0201234146692749,False
SLC37A4,0.7034052108646837,7.393279914145211e-10,0.99501414427157,0.6604632563290166,1.6908359385736167e-08,0.14059814369198778,0.1822190321144944,False
KIF21A,0.7030976037405027,7.575720449743171e-10,0.9949080622347949,0.6698145129041189,8.935373478369978e-09,0.4253793645336609,-0.1921521775830132,False
ARFIP2,0.7023593466424682,8.031149239246545e-10,0.9948373408769449,0.6161063090221169,2.629149002433598e-07,0.33168000785737284,0.2057884714596198,False
TMEM129,0.7022363037927959,8.109533178451971e-10,0.9947666195190947,0.576301947153096,2.201777112599265e-06,0.1841084319599323,0.3003297275409267,False
RHBDD2,0.7019286966686148,8.308678247907017e-10,0.9946958981612447,0.5869451536497585,1.282312828972677e-06,0.30909001620585685,0.1475425086445754,False
ALAS1,0.7018671752437786,8.349059656587148e-10,0.9946251768033946,0.6156141376234273,2.7040239199833477e-07,0.2613072729951502,0.272375726480793,False
DNAJC14,0.7014980466947615,8.595282578437536e-10,0.9945544554455445,0.6038635454797133,5.213098162859979e-07,0.11682954378038157,-0.1710666148798849,False
DNAJC10,0.7013750038450891,8.678875353500013e-10,0.9944483734087695,0.6935617828908918,1.5889419357573725e-09,0.452978441290513,-0.0580218944753814,False
MORN2,0.7013750038450891,8.678875353500013e-10,0.9944483734087695,0.6471746285643976,4.0310688446714346e-08,0.38329322791333653,0.0567223453273251,False
NUCB2,0.7010058752960718,8.93430206086414e-10,0.9943422913719944,0.6280414654403396,1.3108625958746775e-07,0.5793350685064926,-0.0792155955342164,False
ALDH18A1,0.7008213110215633,9.064671938202166e-10,0.9942715700141442,0.5357593281860408,1.46490984848233e-05,0.21367185581693296,0.1615008564888326,False
NFU1,0.7005752253222185,9.241305380997817e-10,0.9942008486562942,0.6530806853486727,2.754301713889241e-08,0.32578696655697736,0.1881557806208038,False
DAG1,0.700144575348365,9.558290223540745e-10,0.9941301272984441,0.6152450090744102,2.7614891615004657e-07,0.3738152531552005,0.0706188323654792,False
ENDOG,0.6995908825248393,9.981001878857926e-10,0.994059405940594,0.7228459811129225,1.483728093036203e-10,0.3243137062318785,0.3475068560425848,False
AZIN1,0.6993447968254944,1.0174507148336416e-09,0.993988684582744,0.6545571995447415,2.5008835105107388e-08,0.42680351618125645,-0.0561660702922923,False
AIFM1,0.6990371897013135,1.0421390872653957e-09,0.9939179632248939,0.5916207819373097,1.0050485708161263e-06,0.30260767077542183,0.2933418175507607,False
UGDH,0.6983604540281153,1.098466751293435e-09,0.9938472418670439,0.7088806176751054,4.765660970748678e-10,0.3052595393605998,0.1539840602174809,False
C11orf49,0.6974991540804085,1.1743356199383308e-09,0.9937765205091937,0.667415177335507,1.054680136317371e-08,0.20055983892354562,,
PYROXD1,0.6973145898058999,1.1912268620900589e-09,0.9937057991513437,0.6273647297671414,1.3646998879672564e-07,0.2213328095074514,0.0287673998274036,False
MISP3,0.6970498675019577,1.215856489741425e-09,0.9936350777934936,0.6803346765511089,4.240677562829316e-09,0.1679516770613389,0.0969787371187267,False
ALKBH5,0.6968839398320466,1.2315395011257017e-09,0.9935643564356436,0.6195515088129441,2.1570485058205526e-07,0.3637479742670249,0.2011097167507021,False
MTIF3,0.6958380756098311,1.3348911449112631e-09,0.9934936350777935,0.6859331262112031,2.816498497671645e-09,0.5306683691007267,0.1760121738288651,False
PTRH1,0.6957150327601588,1.3475766690979726e-09,0.9934229137199434,0.6898089759758836,2.1103204633084964e-09,0.27559789814860924,0.3498385598237675,False
