set,lib,term,p,padj,n_overlap,genes
top300_raw,GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),7.013731879805932e-11,9.55270282029568e-08,14,SURF1;NDUFA5;PET100;COX17;NDUFA1;OMA1;TMEM223;LYRM2;SAMM50;AIFM1;NDUFAF3;NDUFS1;SDHAF4;COX14
top300_raw,GO_Biological_Process_2023,Protein Transport (GO:0015031),1.2176832065605014e-08,8.292422636677015e-06,21,SEC13;SYS1;UNC93B1;USO1;STX7;CMTM6;MIA2;COPZ1;RAB11B;SCAMP4;SNX4;PREPL;IFT22;KRT18;SNX27;KIF3B;ARFIP2;IFT27;ARFIP1;SIL1;TMED4
top300_raw,GO_Biological_Process_2023,GPI Anchor Biosynthetic Process (GO:0006506),4.750695151545208e-06,0.0021568155988015243,6,DPM3;PIGT;PIGO;PGAP4;SLC30A5;PIGP
top300_raw,GO_Biological_Process_2023,Mitochondrial Cytochrome C Oxidase Assembly (GO:0033617),1.5686044016383605e-05,0.005341097987578617,5,SURF1;TMEM223;PET100;COX17;COX14
top300_raw,GO_Biological_Process_2023,Respiratory Chain Complex IV Assembly (GO:0008535),3.730201049551283e-05,0.008798672813530873,5,TMEM223;SURF1;PET100;COX17;COX14
top300_raw,GO_Biological_Process_2023,Glycolipid Biosynthetic Process (GO:0009247),4.141085836907935e-05,0.008798672813530873,6,TM9SF2;DPM3;PIGO;PGAP4;SLC30A5;PIGP
top300_raw,GO_Biological_Process_2023,GPI Anchor Metabolic Process (GO:0006505),4.5220785385254116e-05,0.008798672813530873,5,DPM3;PIGO;PGAP4;SLC30A5;PIGP
top300_raw,GO_Biological_Process_2023,Cilium Assembly (GO:0060271),8.267831120369966e-05,0.014075982482429868,13,SPAG16;RSPH4A;TRAF3IP1;PARVA;BBIP1;RPGRIP1L;TTC39C;DYNC2LI1;CFAP298;IFT22;KIF3B;IFT27;ENKD1
top300_raw,GO_Biological_Process_2023,Zinc Ion Transport (GO:0006829),0.00035080263860191933,0.05248506594926947,4,SLC30A9;SLC30A5;SLC39A4;SLC39A3
top300_raw,GO_Biological_Process_2023,Protein Glycosylation (GO:0006486),0.000385352907116516,0.05248506594926947,9,DPAGT1;KRTCAP2;DPM3;TMEM258;DAD1;MLEC;PLOD2;ALG1;POMGNT2
top300_raw,GO_Biological_Process_2023,Glycerol Metabolic Process (GO:0006071),0.0005042369993995074,0.06243370847110264,3,TKFC;GOT1;GALK2
top300_raw,GO_Biological_Process_2023,Cotranslational Protein Targeting To Membrane (GO:0006613),0.0008547684066723394,0.09433818650919171,3,TRAM1;SIL1;SEC63
top300_raw,GO_Biological_Process_2023,Protein Localization (GO:0008104),0.0009004379035385405,0.09433818650919171,14,SEC13;UNC93B1;USO1;STX7;CBY1;COPZ1;TM9SF2;IFT22;SNX27;ARFIP2;IFT27;ARFIP1;SIL1;TMED4
top300_raw,GO_Biological_Process_2023,NADH Dehydrogenase Complex Assembly (GO:0010257),0.001169663606094986,0.10620545543342473,5,LYRM2;NDUFA5;NDUFA1;NDUFAF3;NDUFS1
top300_raw,GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),0.001169663606094986,0.10620545543342473,5,LYRM2;NDUFA5;NDUFA1;NDUFAF3;NDUFS1
top300_raw,GO_Biological_Process_2023,Intraciliary Anterograde Transport (GO:0035720),0.0016188034811639598,0.1378006463340821,3,IFT22;TRAF3IP1;IFT27
top300_raw,GO_Biological_Process_2023,Cellular Respiration (GO:0045333),0.001757047590542757,0.1407705187246609,6,SURF1;NDUFA5;NDUFA1;NDUFS1;SDHAF4;NDUFV3
top300_raw,GO_Biological_Process_2023,Aerobic Respiration (GO:0009060),0.00189700896786557,0.14354034523516146,5,SURF1;NDUFA5;NDUFA1;NDUFS1;NDUFV3
top300_raw,GO_Biological_Process_2023,RNA Decapping (GO:0110154),0.002176476887111483,0.14821807601229198,2,NUDT16;NUDT12
top300_raw,GO_Biological_Process_2023,Gastrulation With Mouth Forming Second (GO:0001702),0.002176476887111483,0.14821807601229198,2,UGDH;LRP5
top300_raw,GO_Biological_Process_2023,Protein Lipidation (GO:0006497),0.0023642986306854187,0.1521736204479778,5,DPM3;PIGO;PGAP4;SLC30A5;PIGP
top300_raw,GO_Biological_Process_2023,Fatty Acid Metabolic Process (GO:0006631),0.0024580173640642525,0.1521736204479778,7,ACLY;CPT1A;MECR;CPT2;PEX2;ACSL3;MCAT
