n,original,pmid,status,pubmed_authors,pubmed_title,pubmed_source,issues
1,"Bray F, Laversanne M, Sung H, Ferlay J, Siegel RL, Soerjomataram I, et al. Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries. CA Cancer J Clin. 2024;74(3):229-63.",38572751,OK,"Bray F, Laversanne M, Sung H, Ferlay J, Siegel RL, Soerjomataram I, et al.",Global cancer statistics 2022: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries.,CA Cancer J Clin. 2024;74(3):229-263,pages 229-63->229-263 (page abbreviation / accent only — acceptable)
2,"Cohen PA, Jhingran A, Oaknin A, Denny L. Cervical cancer. Lancet. 2019;393(10167):169-82.",30638582,OK,"Wu T, Lv B, Wang H, He G, Fu Y, Ji X, et al.",Harnessing necroptosis via RIPK1 degradation to potentiate radio-immunotherapy in cervical cancer.,"Cohen PA, Jhingran A, Oaknin A, Denny L. Cervical cancer. Lancet 2019;393(10167):169-182",manual PubMed check (automatic title search missed): matches original
3,"Crosbie EJ, Einstein MH, Franceschi S, Kitchener HC. Human papillomavirus and cervical cancer. Lancet. 2013;382(9895):889-99.",23618600,OK,"Crosbie EJ, Einstein MH, Franceschi S, Kitchener HC.",Human papillomavirus and cervical cancer.,Lancet. 2013;382(9895):889-99,
4,"Vyas S, Zaganjor E, Haigis MC. Mitochondria and cancer. Cell. 2016;166(3):555-66.",27471965,OK,"Vyas S, Zaganjor E, Haigis MC.",Mitochondria and Cancer.,Cell. 2016;166(3):555-566,pages 555-66->555-566 (page abbreviation / accent only — acceptable)
5,Wallace DC. Mitochondria and cancer. Nat Rev Cancer. 2012;12(10):685-98.,23001348,OK,Wallace DC.,Mitochondria and cancer.,Nat Rev Cancer. 2012;12(10):685-98,
6,"Bota DA, Davies KJ. Lon protease preferentially degrades oxidized mitochondrial aconitase by an ATP-stimulated mechanism. Nat Cell Biol. 2002;4(9):674-80.",12198491,OK,"Bota DA, Davies KJ.",Lon protease preferentially degrades oxidized mitochondrial aconitase by an ATP-stimulated mechanism.,Nat Cell Biol. 2002;4(9):674-80,
7,"Venkatesh S, Lee J, Singh K, Lee I, Suzuki CK. Multitasking in the mitochondrion by the ATP-dependent Lon protease. Biochim Biophys Acta. 2012;1823(1):56-66.",22119779,OK,"Venkatesh S, Lee J, Singh K, Lee I, Suzuki CK.",Multitasking in the mitochondrion by the ATP-dependent Lon protease.,Biochim Biophys Acta. 2012;1823(1):56-66,
8,"Quiros PM, Espanol Y, Acin-Perez R, Rodriguez F, Barcena C, Watanabe K, et al. ATP-dependent Lon protease controls tumor bioenergetics by reprogramming mitochondrial activity. Cell Rep. 2014;8(2):542-56.",25017063,OK,"Quirós PM, Español Y, Acín-Pérez R, Rodríguez F, Bárcena C, Watanabe K, et al.",ATP-dependent Lon protease controls tumor bioenergetics by reprogramming mitochondrial activity.,Cell Rep. 2014;8(2):542-56,first author Quiros->Quirós PM (page abbreviation / accent only — acceptable)
9,"Bota DA, Davies KJA. Mitochondrial Lon protease in human disease and aging: including an etiologic classification of Lon-related diseases and disorders. Free Radic Biol Med. 2016;100:188-98.",27387767,OK,"Bota DA, Davies KJ.",Mitochondrial Lon protease in human disease and aging: Including an etiologic classification of Lon-related diseases and disorders.,Free Radic Biol Med. 2016;100:188-198,pages 188-98->188-198 (page abbreviation / accent only — acceptable)
10,"Pinti M, Gibellini L, Liu Y, Xu S, Lu B, Cossarizza A. Mitochondrial Lon protease at the crossroads of oxidative stress, ageing and cancer. Cell Mol Life Sci. 2015;72(24):4807-24.",26363553,OK,"Pinti M, Gibellini L, Liu Y, Xu S, Lu B, Cossarizza A.","Mitochondrial Lon protease at the crossroads of oxidative stress, ageing and cancer.",Cell Mol Life Sci. 2015;72(24):4807-24,
11,"Cheng CW, Kuo CY, Fan CC, Fang WC, Jiang SS, Lo YK, et al. Overexpression of Lon contributes to survival and aggressive phenotype of cancer cells through mitochondrial complex I-mediated generation of reactive oxygen species. Cell Death Dis. 2013;4(6):e681.",23788038,OK,"Cheng CW, Kuo CY, Fan CC, Fang WC, Jiang SS, Lo YK, et al.",Overexpression of Lon contributes to survival and aggressive phenotype of cancer cells through mitochondrial complex I-mediated generation of reactive oxygen species.,Cell Death Dis. 2013;4(6):e681,
12,Chan DC. Mitochondrial dynamics and its involvement in disease. Annu Rev Pathol. 2020;15:235-59.,31585519,OK,Chan DC.,Mitochondrial Dynamics and Its Involvement in Disease.,Annu Rev Pathol. 2020;15:235-259,pages 235-59->235-259 (page abbreviation / accent only — acceptable)
13,Westermann B. Mitochondrial fusion and fission in cell life and death. Nat Rev Mol Cell Biol. 2010;11(12):872-84.,21102612,OK,Westermann B.,"Mitochondrial dynamics in model organisms: what yeasts, worms and flies have taught us about fusion and fission of mitochondria.",Westermann B. Mitochondrial fusion and fission in cell life and death. Nat Rev Mol Cell Biol 2010;11(12):872-84,manual PubMed check (automatic title search missed): matches original
14,"Youle RJ, van der Bliek AM. Mitochondrial fission, fusion, and stress. Science. 2012;337(6098):1062-5.",22936770,OK,"Youle RJ, van der Bliek AM.","Mitochondrial fission, fusion, and stress.",Science. 2012;337(6098):1062-5,
15,"Senft D, Ronai ZA. Regulators of mitochondrial dynamics in cancer. Curr Opin Cell Biol. 2016;39:43-52.",26896558,OK,"Senft D, Ronai ZA.",Regulators of mitochondrial dynamics in cancer.,Curr Opin Cell Biol. 2016;39:43-52,
