t,HR,lo,hi,endpoint
6.0,1.5494,0.8186,2.9325,TCGA-CESC: overall survival
6.1172,1.5334,0.8151,2.8847,TCGA-CESC: overall survival
6.2367,1.5175,0.8115,2.8377,TCGA-CESC: overall survival
6.3586,1.5018,0.8079,2.7917,TCGA-CESC: overall survival
6.4828,1.4863,0.8043,2.7466,TCGA-CESC: overall survival
6.6095,1.4709,0.8006,2.7024,TCGA-CESC: overall survival
6.7386,1.4557,0.797,2.659,TCGA-CESC: overall survival
6.8703,1.4407,0.7933,2.6165,TCGA-CESC: overall survival
7.0045,1.4258,0.7895,2.5748,TCGA-CESC: overall survival
7.1414,1.411,0.7858,2.5339,TCGA-CESC: overall survival
7.2809,1.3965,0.782,2.4938,TCGA-CESC: overall survival
7.4231,1.382,0.7782,2.4545,TCGA-CESC: overall survival
7.5682,1.3677,0.7743,2.416,TCGA-CESC: overall survival
7.716,1.3536,0.7704,2.3782,TCGA-CESC: overall survival
7.8668,1.3396,0.7665,2.3412,TCGA-CESC: overall survival
8.0205,1.3258,0.7625,2.305,TCGA-CESC: overall survival
8.1772,1.3121,0.7586,2.2694,TCGA-CESC: overall survival
8.337,1.2985,0.7545,2.2346,TCGA-CESC: overall survival
8.4999,1.2851,0.7505,2.2005,TCGA-CESC: overall survival
8.6659,1.2718,0.7464,2.1671,TCGA-CESC: overall survival
8.8352,1.2586,0.7422,2.1343,TCGA-CESC: overall survival
9.0079,1.2456,0.7381,2.1023,TCGA-CESC: overall survival
9.1839,1.2328,0.7338,2.0709,TCGA-CESC: overall survival
9.3633,1.22,0.7296,2.0401,TCGA-CESC: overall survival
9.5462,1.2074,0.7253,2.01,TCGA-CESC: overall survival
9.7327,1.1949,0.7209,1.9805,TCGA-CESC: overall survival
9.9229,1.1826,0.7166,1.9517,TCGA-CESC: overall survival
10.1168,1.1703,0.7121,1.9234,TCGA-CESC: overall survival
10.3144,1.1583,0.7077,1.8957,TCGA-CESC: overall survival
10.516,1.1463,0.7031,1.8687,TCGA-CESC: overall survival
10.7214,1.1344,0.6986,1.8422,TCGA-CESC: overall survival
10.9309,1.1227,0.694,1.8163,TCGA-CESC: overall survival
11.1445,1.1111,0.6893,1.7909,TCGA-CESC: overall survival
11.3622,1.0996,0.6846,1.7662,TCGA-CESC: overall survival
11.5842,1.0882,0.6799,1.7419,TCGA-CESC: overall survival
11.8105,1.077,0.6751,1.7182,TCGA-CESC: overall survival
12.0413,1.0659,0.6702,1.695,TCGA-CESC: overall survival
12.2765,1.0548,0.6653,1.6724,TCGA-CESC: overall survival
12.5164,1.0439,0.6604,1.6502,TCGA-CESC: overall survival
12.7609,1.0332,0.6554,1.6286,TCGA-CESC: overall survival
13.0103,1.0225,0.6504,1.6074,TCGA-CESC: overall survival
13.2644,1.0119,0.6453,1.5868,TCGA-CESC: overall survival
13.5236,1.0014,0.6402,1.5666,TCGA-CESC: overall survival
13.7878,0.9911,0.635,1.5469,TCGA-CESC: overall survival
14.0572,0.9808,0.6298,1.5276,TCGA-CESC: overall survival
14.3319,0.9707,0.6245,1.5088,TCGA-CESC: overall survival
14.6119,0.9607,0.6192,1.4905,TCGA-CESC: overall survival
14.8974,0.9507,0.6138,1.4726,TCGA-CESC: overall survival
15.1884,0.9409,0.6084,1.4551,TCGA-CESC: overall survival
15.4852,0.9312,0.603,1.438,TCGA-CESC: overall survival
15.7877,0.9216,0.5975,1.4214,TCGA-CESC: overall survival
16.0962,0.912,0.592,1.4052,TCGA-CESC: overall survival
16.4107,0.9026,0.5864,1.3893,TCGA-CESC: overall survival
16.7313,0.8933,0.5808,1.3739,TCGA-CESC: overall survival
17.0582,0.884,0.5752,1.3588,TCGA-CESC: overall survival
17.3915,0.8749,0.5695,1.3441,TCGA-CESC: overall survival
17.7313,0.8659,0.5638,1.3298,TCGA-CESC: overall survival
18.0777,0.8569,0.5581,1.3158,TCGA-CESC: overall survival
18.4309,0.8481,0.5523,1.3022,TCGA-CESC: overall survival
18.791,0.8393,0.5465,1.2889,TCGA-CESC: overall survival
19.1581,0.8306,0.5407,1.276,TCGA-CESC: overall survival
19.5324,0.822,0.5349,1.2634,TCGA-CESC: overall survival
19.9141,0.8135,0.529,1.2511,TCGA-CESC: overall survival
20.3031,0.8051,0.5231,1.2391,TCGA-CESC: overall survival
20.6998,0.7968,0.5172,1.2275,TCGA-CESC: overall survival
21.1042,0.7886,0.5113,1.2161,TCGA-CESC: overall survival
21.5166,0.7804,0.5054,1.205,TCGA-CESC: overall survival
21.937,0.7723,0.4995,1.1942,TCGA-CESC: overall survival
22.3656,0.7644,0.4936,1.1837,TCGA-CESC: overall survival
22.8025,0.7565,0.4877,1.1734,TCGA-CESC: overall survival
23.2481,0.7486,0.4817,1.1634,TCGA-CESC: overall survival
