gene,entrez,rho,p,chr,start,end,cytoband,on_19p13_3,dist_to_LONP1_Mb,rank
CLPP,8192,0.7182164726826694,6.611405230792862e-48,19,6361427.0,6370242.0,19p13.3,True,0.669582,1
THOP1,7064,0.6847941652509908,5.038019941639531e-42,19,2785444.0,2815807.0,19p13.3,True,-2.906401,2
HDGFL2,84717,0.6729631680288243,3.974143841732422e-40,19,4472244.0,4502225.0,19p13.3,True,-1.219601,3
WDR18,57418,0.6697242117764558,1.268584757128191e-39,19,984248.0,998438.0,19p13.3,True,-4.707597,4
SGTA,6449,0.6356842407235352,1.0949337812813859e-34,19,2754711.0,2783390.0,19p13.3,True,-2.937134,5
DUS3L,56931,0.6262233151489323,2.011760165809413e-33,19,5784832.0,5791225.0,19p13.3,True,0.092987,6
MAP2K2,5605,0.6257468452759711,2.323255599943491e-33,19,4090316.0,4124238.0,19p13.3,True,-1.601529,7
NDUFA11,126328,0.6141401525034147,7.183632835564228e-32,19,5891207.0,5904006.0,19p13.3,True,0.199362,8
UBXN6,80700,0.6140197364304663,7.438440114930943e-32,19,4444999.0,4457794.0,19p13.3,True,-1.246846,9
TIMM13,26517,0.5967294050147391,9.53538186013254e-30,19,2425624.0,2427593.0,19p13.3,True,-3.266221,10
GTF2F1,2962,0.595563966316555,1.308742119879055e-29,19,6379545.0,6393981.0,19p13.3,True,0.6877,11
POLR2E,5434,0.5932057001663394,2.474067709270445e-29,19,1085104.0,1095486.0,19p13.3,True,-4.606741,12
LSM7,51690,0.5901337917014438,5.626887199792201e-29,19,2321507.0,2328630.0,19p13.3,True,-3.370338,13
ALKBH7,84266,0.5858688196745696,1.7356095358882207e-28,19,6372715.0,6377261.0,19p13.3,True,0.68087,14
EIF3G,8666,0.581960845887496,4.8017270631127935e-28,19,10115010.0,10119951.0,19p13.2,False,4.423165,15
RPL36,25873,0.5772772509246655,1.5969065104356958e-27,19,5674947.0,5691881.0,19p13.3,True,-0.016898,16
MICOS13,125988,0.5697269270408458,1.0645273582408764e-26,19,5678414.0,5680940.0,19p13.3,True,-0.013431,17
MBD3,53615,0.5649565616725084,3.442408880174135e-26,19,1573596.0,1592911.0,19p13.3,True,-4.118249,18
CD320,51293,0.5635309298127766,4.870718031912662e-26,19,8302123.0,8308379.0,19p13.2,False,2.610278,19
NCLN,56926,0.5562606323260489,2.786532872439796e-25,19,3185563.0,3209575.0,19p13.3,True,-2.506282,20
FARSA,2193,0.5561888549021737,2.834328207391686e-25,19,12921138.0,12934037.0,19p13.13,False,7.229293,21
CACTIN,58509,0.5559999669446074,2.9640011072025696e-25,19,3610643.0,3626833.0,19p13.3,True,-2.081202,22
SIRT6,51548,0.5521735691442077,7.291162931044882e-25,19,4174104.0,4182604.0,19p13.3,True,-1.517741,23
RANBP3,8498,0.5499716077788783,1.2175526435061046e-24,19,5916138.0,5978288.0,19p13.3,True,0.224293,24
CDC34,997,0.5499479967841825,1.2242403473163872e-24,19,531435.0,542092.0,19p13.3,True,-5.16041,25
POLRMT,5442,0.5437963882261414,5.0269712409294406e-24,19,617168.0,633619.0,19p13.3,True,-5.074677,26
SLC39A3,29985,0.5392352162708087,1.40627486576316e-23,19,2732204.0,2740071.0,19p13.3,True,-2.959641,27
FAM174C,55009,0.5381991658235574,1.7725839457124221e-23,19,1276021.0,1279244.0,19p13.3,True,-4.415824,28
TIMM44,10469,0.5345975446926616,3.939270379641473e-23,19,7926715.0,7943773.0,19p13.2,False,2.23487,29
MYDGF,56005,0.534314684976206,4.192542386013114e-23,19,4641374.0,4670403.0,19p13.3,True,-1.050471,30
MRPL54,116541,0.5301246778574911,1.0480416329763258e-22,19,3761841.0,3769033.0,19p13.3,True,-1.930004,31
RPS15,6209,0.5281238821669698,1.6159941844200195e-22,19,1438149.0,1440508.0,19p13.3,True,-4.253696,32
TMEM161A,54929,0.525846365618614,2.63632465843861e-22,19,19119148.0,19138513.0,19p13.11,False,13.427303,33
UQCR11,10975,0.525351951389684,2.9304266032676747e-22,19,1593987.0,1605500.0,19p13.3,True,-4.097858,34
DHPS,1725,0.5241034019901707,3.824629032575425e-22,19,12673411.0,12681901.0,19p13.13,False,6.981566,35
